step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m,fine_epe_px,fine_epe_in_px
66,train,6.3347,0.0005,15.31,6.1818,15.12,9933,54.6,15.099,15.086,nan,nan
67,train,7.3967,0.0000,20.58,7.2052,18.60,9662,55.4,20.028,20.020,nan,nan
68,train,7.0259,0.0002,18.90,6.8005,19.14,8525,56.1,17.916,17.885,nan,nan
69,train,6.3517,0.0006,11.46,6.1418,9.51,8454,56.9,10.847,10.800,nan,nan
70,train,7.1143,0.0002,19.36,7.1074,19.22,8479,57.6,18.399,18.378,nan,nan
71,train,7.2585,0.0000,19.72,7.0934,17.71,9510,58.4,19.862,19.858,nan,nan
72,train,6.3632,0.0007,14.41,6.2119,14.22,9728,59.1,13.402,13.384,nan,nan
73,train,6.1826,0.0013,15.84,6.0953,18.41,9980,59.9,13.160,13.134,nan,nan
74,train,6.4379,0.0006,16.45,6.2813,15.34,8036,60.6,16.613,16.539,nan,nan
75,train,6.5733,0.0002,15.17,6.3726,13.11,8372,61.4,13.687,13.669,nan,nan
76,train,6.2465,0.0000,18.32,6.0472,18.49,7454,62.1,14.160,14.123,nan,nan
77,train,6.1421,0.0036,15.33,6.0395,15.44,9013,62.8,13.962,13.953,nan,nan
78,train,6.7168,0.0007,14.65,6.7646,13.94,10517,63.6,15.060,15.011,nan,nan
79,train,5.8349,0.0018,10.85,5.7152,10.78,10796,64.3,6.180,6.166,nan,nan
80,train,5.3981,0.0442,8.87,5.1498,4.16,7595,65.1,4.557,4.469,nan,nan
81,train,6.1329,0.0001,11.72,6.0846,9.85,7890,65.8,12.546,12.511,nan,nan
82,train,5.6767,0.0093,9.68,5.6516,9.69,9241,66.6,7.919,7.887,nan,nan
83,train,6.8434,0.0033,18.52,6.7525,20.59,7800,67.3,16.361,16.322,nan,nan
84,train,6.0279,0.0002,14.94,5.8066,13.78,8457,68.1,12.913,12.903,nan,nan
85,train,7.0068,0.0000,21.30,6.7304,18.65,9386,68.8,19.595,19.552,nan,nan
86,train,5.6050,0.0128,8.80,5.5641,7.39,9975,69.6,5.954,5.938,nan,nan
87,train,6.0893,0.0024,13.12,5.8746,11.54,9116,70.3,12.169,12.150,nan,nan
88,train,7.1013,0.0001,18.03,7.0510,17.19,10191,71.1,18.255,18.246,nan,nan
89,train,6.0984,0.0077,13.77,5.9413,12.53,7698,71.8,12.994,12.912,nan,nan
90,train,7.2544,0.0004,18.86,7.2577,17.41,9787,72.6,17.370,17.360,nan,nan
91,train,6.2465,0.0002,16.99,6.1313,12.53,8245,73.3,13.698,13.695,nan,nan
92,train,6.8914,0.0020,20.12,6.6613,22.39,10803,74.0,16.480,16.473,nan,nan
93,train,6.1059,0.0024,12.61,6.0189,10.66,9644,74.8,10.820,10.735,nan,nan
