step,split,loss,acc,cell_err,sec_per_step,gpu_gb
25,train,8.228480930328368,0.0,18.957557106018065,0.9600572109222412,4.570638179779053
50,train,7.620484828948975,0.001497580837458372,14.798256607055665,0.942522964477539,4.573919773101807
75,train,7.452291507720947,0.0019881581515073777,12.97441764831543,0.9365032323201498,4.60012149810791
100,train,7.208838214874268,0.0026541546545922755,12.323959999084472,0.9336744260787964,4.60012149810791
125,train,7.31985746383667,0.001485157236456871,12.523775806427002,0.9313039970397949,4.612695217132568
150,train,6.910199756622315,0.0017259630188345909,10.735293197631837,0.9304772615432739,4.612695217132568
175,train,7.230823287963867,0.002293098196387291,12.764564895629883,0.9289713191986084,4.612695217132568
200,train,7.337780475616455,0.0022949489764869215,14.906845035552978,0.9286830186843872,4.612695217132568
225,train,7.064238815307617,0.0024289263784885405,12.728855800628661,0.9302838717566596,4.612695217132568
250,train,7.0652240371704105,0.0004545454680919647,12.002757568359375,0.9920430679321289,4.612695217132568
250,val,7.055350838807913,0.0030769229587167502,9.754687625444852,,
275,train,7.158924083709717,0.0017510207369923591,12.196227550506592,1.0352230384133079,4.612695217132568
300,train,7.083628368377686,0.0014873904921114444,13.294718627929688,1.0517469151814778,4.612695217132568
325,train,6.863966636657715,0.003694980386644602,11.332228870391846,1.0410854647709773,4.612695217132568
350,train,7.011236972808838,0.001739963199943304,11.186360969543458,1.0531119973318916,4.612695217132568
375,train,7.00755895614624,0.0032876841351389885,10.841154956817627,1.0681485684712728,4.612695217132568
400,train,7.043926963806152,0.0007418803498148918,15.149717750549316,1.0588892531394958,4.612695217132568
425,train,6.980968246459961,0.0046996474079787735,12.064041156768798,1.0782700437657973,4.612695217132568
450,train,6.799928417205811,0.0034208115749061107,10.742000560760498,1.1185151963763766,4.612695217132568
475,train,6.799112987518311,0.0036024627089500426,11.631414318084717,1.1545774324316727,4.612695217132568
500,train,6.987420177459716,0.0022336803749203682,11.893422946929931,1.1865221762657165,4.612695217132568
500,val,6.869889703530531,0.004615384490014269,11.145542612075806,,
525,train,6.9510565185546875,0.0051733658462762835,10.96936544418335,1.2675405706678118,4.612695217132568
550,train,6.790855865478516,0.0030926357954740523,11.61855031967163,1.2917694637992165,4.612695217132568
575,train,6.678434295654297,0.006004914492368698,10.43696340560913,1.3143231711180314,4.612695217132568
600,train,6.723250312805176,0.003146671503782272,10.887066478729247,1.2985478814442952,4.612695217132568
625,train,6.9816071319580075,0.002849716693162918,12.808478260040284,1.283315704345703,4.612695217132568
650,train,6.593342189788818,0.006234562434256077,10.76668327331543,1.2692293324837318,4.612695217132568
675,train,6.708463554382324,0.004227828532457352,9.951290349960328,1.2570172285150598,4.612695217132568
700,train,6.403633251190185,0.006756695937365293,9.520258522033691,1.2452120116778782,4.612695217132568
725,train,6.629745368957519,0.0039764632284641265,9.555830268859863,1.2342376597174283,4.612695217132568
750,train,6.988185176849365,0.0048597753420472145,12.394319114685059,1.224239865620931,4.612695217132568
750,val,6.724717574853163,0.006153846052117073,11.490616923845732,,
775,train,6.626371192932129,0.007675146628171206,11.463084936141968,1.2324659479818036,4.612695217132568
800,train,6.5183658790588375,0.007442004531621933,10.388980894088744,1.2228383696079255,4.612695217132568
825,train,6.369860782623291,0.006400006823241711,10.044597816467284,1.2139946405815356,4.612695217132568
850,train,6.891656589508057,0.008560013081878424,12.191891441345215,1.2054752293755027,4.612695217132568
