step,split,loss,acc,cell_err,sec_per_step,gpu_gb
25,train,8.134247169494628,0.0011573802307248116,16.043969058990477,2.7660909366607664,4.434035301208496
50,train,7.438572254180908,0.00043478261679410937,13.730774898529052,2.6811378240585326,4.438395023345947
75,train,7.472661323547364,0.0019757576286792756,12.375089702606202,2.1172964795430502,4.438395023345947
100,train,7.4282905387878415,0.0021802371740341185,14.97107765197754,2.053129689693451,4.438395023345947
125,train,7.1150211906433105,0.0018967452645301819,11.79433738708496,1.9797118759155274,4.438395023345947
150,train,6.87716682434082,0.0057691619917750354,11.775268268585204,1.9278046862284342,4.438395023345947
175,train,6.901593627929688,0.003431980647146702,10.351859588623046,1.8892544460296632,4.438395023345947
200,train,6.396623058319092,0.008564137928187847,9.26633542060852,1.8592339146137238,4.438395023345947
225,train,6.32662525177002,0.008495317958295345,9.011179466247558,1.8440668635898165,4.438395023345947
250,train,5.952836952209473,0.018283761478960513,8.287312173843384,1.8295613145828247,4.438395023345947
250,val,5.928505938628624,0.0057471264314291805,10.484497226517776,,
275,train,5.520341453552246,0.020824731700122355,6.486893167495728,1.781483022516424,4.438395023345947
300,train,5.390761890411377,0.02557207740843296,7.3947904014587404,1.7061432965596517,4.438395023345947
325,train,5.152543363571167,0.03143444664776325,6.241076197624206,1.643437496332022,4.438395023345947
350,train,4.905864696502686,0.04122606467455626,5.179345054626465,1.5888819817134312,4.438395023345947
375,train,5.213486518859863,0.03176019590348005,6.99180230140686,1.5411612599690756,4.438395023345947
400,train,4.91534646987915,0.05182475075125694,6.12376609325409,1.4996478420495987,4.438395023345947
425,train,4.850763149261475,0.04047859460115433,5.617642321586609,1.4635109334833483,4.438395023345947
450,train,4.308422088623047,0.06358693923801184,4.083649821281433,1.4309408643510606,4.438395023345947
475,train,4.5170418071746825,0.06094726111739874,3.9808928537368775,1.4017367398111444,4.438395023345947
500,train,4.406100492477417,0.0545665967464447,3.6484472703933717,1.3770601725578309,4.438395023345947
500,val,4.360324670528543,0.05172413767411791,3.125722116437452,,
