step,split,ce,cert,top1,top5,cell_err_m,n,sec
94,train,4.9211,0.4366,0.0062,0.0309,25.33,162,0.7
95,train,4.9080,0.4448,0.0061,0.0368,20.52,163,0.7
96,train,4.9201,0.5050,0.0062,0.0311,28.89,161,0.7
97,train,5.1601,0.4534,0.0061,0.0121,29.15,165,0.7
98,train,4.9294,0.5441,0.0068,0.0408,20.40,147,0.6
99,train,4.9137,0.4449,0.0063,0.0312,24.05,160,0.7
100,train,4.8668,0.4726,0.0129,0.0516,22.64,155,0.8
101,train,4.9609,0.5798,0.0063,0.0312,24.26,160,0.7
102,train,4.8825,0.5190,0.0067,0.0333,20.09,150,0.8
103,train,5.0778,0.4551,0.0000,0.0185,32.27,162,0.8
104,train,5.1170,0.5240,0.0000,0.0201,27.01,149,0.8
105,train,4.9423,0.4447,0.0061,0.0244,22.26,164,0.6
106,train,4.9225,0.5606,0.0067,0.0400,19.56,150,0.7
107,train,5.0158,0.4409,0.0000,0.0435,31.38,161,0.8
108,train,4.9681,0.5642,0.0137,0.0411,25.93,146,0.8
109,train,4.9852,0.5742,0.0000,0.0405,25.00,148,0.8
110,train,5.0098,0.4270,0.0000,0.0123,24.29,163,0.8
111,train,5.0589,0.6021,0.0000,0.0000,24.23,147,0.6
112,train,4.9661,0.4265,0.0062,0.0309,26.37,162,0.8
113,train,4.8653,0.4858,0.0131,0.0654,21.03,153,0.6
114,train,5.1085,0.4544,0.0000,0.0126,29.40,159,0.6
115,train,4.8950,0.4656,0.0065,0.0129,20.49,155,0.8
116,train,4.9889,0.4287,0.0061,0.0245,22.95,163,0.8
117,train,5.0915,0.5740,0.0000,0.0063,34.08,160,0.8
118,train,4.9599,0.6173,0.0000,0.0123,37.58,162,0.8
119,train,4.9145,0.4578,0.0062,0.0185,20.66,162,0.8
120,train,4.9121,0.5105,0.0067,0.0267,22.88,150,0.6
121,train,4.9527,0.9020,0.0073,0.0219,21.49,137,0.6
122,train,5.1515,0.4264,0.0000,0.0183,34.73,164,0.8
123,train,4.9999,0.5014,0.0000,0.0124,28.90,161,0.6
124,train,4.8690,0.5734,0.0194,0.0645,22.56,155,0.6
125,train,4.9995,0.4331,0.0123,0.0432,20.57,162,0.6
126,train,4.9468,0.6450,0.0065,0.0130,20.98,154,0.6
127,train,4.9153,0.4475,0.0182,0.0545,23.63,165,0.6
128,train,5.0808,0.4571,0.0000,0.0062,41.65,161,0.8
129,train,5.0739,0.6775,0.0000,0.0000,37.74,160,0.8
130,train,4.9259,0.5733,0.0135,0.0405,19.65,148,0.7
