name,variant,position_m,yaw_deg,corner_m,inlier_ratio,n_modes,argmax_m,cos_ea,cos_nlp,cos_cnx_ea,cos_cnx_nlp
0000000000,ipm_cl,89.86494068614782,7.724584940433977,94.2207128541658,0.7941176470588235,68,85.1707763671875,-0.004043318774404218,0.010169140663954118,0.033843819532578215,0.05329921407047129
0000000000,oracle_a,,,,0.0,6,113.80860137939453,0.0006904430692336334,0.09234224629705456,0.04712768254425373,-0.0241910724136624
0000000000,oracle_b,31.21365217975183,111.80411204048731,46.63370136034345,0.75,4,64.48174285888672,-0.005413364081767975,0.03335700628028481,0.026206648428027057,0.02721343824358094
0000000003,ipm_cl,56.794695625967854,5.5164410162714494,59.39781263546419,0.6384180790960452,177,70.31604766845703,0.00017803192535730854,0.0021084115437734305,0.04831820818532387,-0.026835337906276534
0000000003,oracle_a,109.11638334336273,7.985334531678247,107.51747785111422,1.0,15,108.36139678955078,0.008349841675640934,0.028057867812066192,0.05410768139570953,-0.16398904362388336
0000000003,oracle_b,59.35425724916029,2.404152293953768,60.66644353884078,0.8263473053892215,167,65.1568832397461,-0.0034673730954416647,0.005116336997318247,0.048929109370273824,-0.08863514329096489
0000000006,ipm_cl,133.93424423290946,13.13096501814137,135.93651052622175,0.9651162790697675,86,134.00059509277344,-0.009891946323392973,-0.0008730723813729774,-0.024994458112439888,-0.03314721629560427
0000000006,oracle_a,111.8265250596662,25.60666315834279,105.63196604598602,1.0,16,115.80056762695312,0.003612571777779271,0.11396046035063878,0.06578041398696806,-0.043271171789681144
0000000006,oracle_b,42.349748332247394,23.47431698095765,46.28317266917102,0.952755905511811,127,47.2301025390625,-0.008362913328055107,0.017219968289051257,0.0010863055041161985,-0.0947907568710325
0000000010,ipm_cl,43.766624461268655,36.52990560702293,48.725611251670344,0.9651162790697675,86,46.30967330932617,-0.006581983993146004,0.0010675674733586367,-0.08656404721915063,0.027480315948087974
0000000010,oracle_a,111.04662558107175,22.67279214327914,125.2311532650508,1.0,16,115.1626205444336,-0.011912194514127663,0.09042989725504953,0.19325791155066052,0.03143762439719432
0000000010,oracle_b,144.90367175648103,18.563340158075647,144.14007031283043,0.5182481751824818,137,88.82820129394531,-0.00814159093042829,0.025266579393437905,-0.07401227815112882,0.03191270447894231
0000000013,ipm_cl,91.8532614883121,26.279261941582448,95.43784872065457,1.0,8,95.73714447021484,-0.0037026136770864533,0.007219070088865262,0.025534616553312243,-0.051646018652781935
0000000013,oracle_a,,,,0.0,2,113.30333709716797,-0.020487587446015216,0.0849226614928614,0.07348311475107205,0.04200303955696938
0000000013,oracle_b,91.11498436044435,1.1476181139226096,98.40840371013763,1.0,13,102.27716827392578,-0.004487223120502498,0.018952497628979263,0.018976350427804572,-0.012764141896101222
0000000017,ipm_cl,76.92215987741052,26.02332835402794,77.05238299123043,0.9878048780487805,82,83.1876220703125,0.008024324790187179,0.03680143788761785,-0.0052737647834783805,0.01917460672189572
0000000017,oracle_a,41.92225624146106,49.533371658642565,100.34952722932115,1.0,15,40.92932891845703,-0.017980858810081733,0.032972242571853584,0.043798286713083306,-0.054382434114091494
0000000017,oracle_b,86.2782026263534,38.76157119884244,89.11476751340031,1.0,145,90.2401351928711,0.008883738738800872,0.043073113449562155,-0.02619618521721526,-0.0014425141223439225
0000000020,ipm_cl,,,,0.0,3,122.34232330322266,-0.005712482765537101,0.016436014487139793,-0.04653104381556468,0.0343153094197322
0000000020,oracle_a,,,,0.0,0,109.04253387451172,-0.018778938480093287,0.07359011819391229,0.1447756569230179,0.11088497166267684
0000000020,oracle_b,175.8503999138249,29.958273556004045,287.21711653615705,0.5614035087719298,57,94.76708221435547,-0.008401044524874408,0.02968565833488656,-0.054185069682201215,0.040891855398972415
0000000024,ipm_cl,,,,0.0,0,68.03323364257812,0.00758093601716276,0.024038026545318513,0.07563682378259812,-0.014166871422060622
0000000024,oracle_a,,,,0.0,0,101.75366973876953,-0.0008128355795406801,0.07714599448416294,-0.14346374487817745,-0.14322114153669863
0000000024,oracle_b,59.72511876243222,40.148835592279504,77.48149728094279,1.0,22,60.19095993041992,-0.008215764120760142,0.025226417651938185,-0.020223109439279068,-0.10033609483179351
0000000027,ipm_cl,97.63287122059914,62.36163936000091,104.35667103443433,0.9186046511627907,86,102.20999908447266,0.0044439087484757795,0.03549984611372555,-0.0009586167452598363,0.07762992002949475
0000000027,oracle_a,,,,0.0,0,117.96399688720703,0.006041039212496741,0.07554824288650838,0.01714813312425587,0.07785075702173319
0000000027,oracle_b,103.7149383499728,141.77179353126613,108.32925552256263,0.5918367346938775,49,82.86917114257812,0.00760152130719715,0.038209086346412374,-0.08390744749352098,0.031604777416245504
0000000031,ipm_cl,88.5935517045096,77.65155368190507,94.21973861921587,1.0,109,89.66890716552734,0.005523276484650903,0.0039432368499228605,-0.01887134532829814,0.04956191703445328
0000000031,oracle_a,112.85094358007859,104.17888567258335,107.86915586428725,0.7,10,102.92282104492188,0.0006775566414086837,0.06368547952831609,0.08542103721489934,0.06948176573022062
0000000031,oracle_b,86.73934515747588,90.84082840374799,92.38445903756218,0.9849624060150376,133,87.9134521484375,-0.0025988396771514334,0.00931925576955703,-0.035027202156982455,-0.005753723297279116
0000000034,ipm_cl,123.11031687350123,26.410175567120728,124.24869561460173,0.6368159203980099,201,100.47396087646484,-0.01068398038576786,0.01585032726968414,-0.019395607484441607,0.18087372025360973
0000000034,oracle_a,,,,0.0,1,113.64299774169922,0.008848725938932427,0.05638236035874749,0.2139691733128354,0.07196982948478205
0000000034,oracle_b,142.336579242403,32.32686385441979,268.6260230790753,0.6641221374045801,131,117.7119369506836,-0.0044655856414435304,0.025063097300044575,-0.014469987033791319,0.09177465280770844
0000000038,ipm_cl,85.64196152448255,92.54633579317253,91.16840792956927,1.0,124,89.97937774658203,0.013903162965897926,0.03429321977644047,0.0026643100642624352,0.12255552431991984
0000000038,oracle_a,104.72946638380309,40.923428927743515,111.75383051094224,1.0,12,107.96580505371094,0.004704227458080155,0.0139841730987434,-0.023283833255392846,-0.004023190447916501
0000000038,oracle_b,85.89246942775293,91.64682511316877,92.41326029769996,1.0,138,90.24087524414062,0.0071553104077826295,0.029608618938398956,-0.017787940020617163,0.09888306426404778
0000000041,ipm_cl,64.74922037146275,69.89475810731143,79.1293512046121,0.8064516129032258,155,67.59757995605469,0.022129906356921074,0.015827765563704202,0.07142975534176045,0.09014972968891918
0000000041,oracle_a,83.273919812305,58.25271620835736,104.3146061296562,1.0,27,84.06770324707031,-0.01592498810219144,0.05341992382532813,-0.19728787979481718,-0.07667656459861887
0000000041,oracle_b,64.04056788751382,47.65166729472034,69.61069639753649,0.8027522935779816,218,68.80024719238281,0.014805957455856417,0.015076951227952018,0.0076854213569446175,0.07556888501467926
0000000045,ipm_cl,89.478821369584,76.20720776290575,91.37331461347938,1.0,114,92.01073455810547,0.02308332855594282,0.0462055878880218,0.030229895991224318,-0.008440617379495622
0000000045,oracle_a,147.6374499021948,27.340958343897604,175.34067422705039,0.75,8,130.46554565429688,0.00994546175001008,0.02619607717811654,0.10788176979102856,0.13703568217701945
0000000045,oracle_b,86.87026109324245,76.71076501818898,90.37057159864136,0.9485294117647058,136,90.48069763183594,0.0003965938790555463,0.0438183024171965,-0.01464348929294635,-0.08738938798836825
0000000048,ipm_cl,83.73255381468229,7.0789958079435715,82.66170761333566,0.7610619469026548,113,77.42240142822266,0.001918570841296599,0.02878752855695015,-0.027651618553302153,0.042832009888252864
0000000048,oracle_a,,,,0.0,0,146.07225036621094,-0.010160145772899426,0.02362003499571171,0.11939310288549755,-0.08323894541506187
0000000048,oracle_b,44.98438403554821,2.1810591811733824,36.74010497706937,0.7068965517241379,58,75.66818237304688,0.012548845054704712,0.02516119264571124,-0.016102497962989643,-0.016445389004299333
0000000051,ipm_cl,55.83054539951006,34.855426837862275,56.4579876731234,0.8257575757575758,132,59.3121223449707,-0.0016844098134028848,0.0402082184186424,-0.034863889240494605,0.036062939526191
0000000051,oracle_a,65.57192877305445,69.75445434934008,88.62752985989385,1.0,12,64.79839324951172,0.01510804983837973,0.0725526724042014,-0.1488457192530207,0.09893755531630484
0000000051,oracle_b,56.11227268169294,52.169825846258945,58.47410205188882,0.7196969696969697,132,62.24089431762695,-0.0042972915649880615,0.031829525973444406,-0.09624685881548453,0.025045219105719392
0000000055,ipm_cl,84.15874003433628,25.369746030509905,84.86556499777033,1.0,83,85.78201293945312,0.005410522704371065,0.04698162087268931,0.030697770536940013,0.12124947713871756
0000000055,oracle_a,,,,0.0,1,86.75777435302734,-0.006860489876510518,0.08325301075920138,-0.037673632527733175,-0.0730061259390889
0000000055,oracle_b,83.3577492909216,26.81912006363882,83.80292709916853,1.0,102,84.70133209228516,0.003713923836423033,0.042977218461006696,-0.035219270592438456,0.012494627491444116
0000000058,ipm_cl,51.347962819409595,33.51292949262243,54.2040548416733,0.9797979797979798,99,56.30549240112305,-0.010390022602185798,0.050923244294761756,0.006419887117615693,0.012185190914459897
0000000058,oracle_a,,,,0.0,1,140.212890625,-0.01362345132410041,0.11638128118403952,0.06732508952071238,0.14497750634444473
0000000058,oracle_b,51.42563640584019,28.623894119641328,55.13102513931582,0.9206349206349206,63,61.7363395690918,-0.016110292257362466,0.04938747674369891,-0.030450783768573037,0.01836423895222813
0000000062,ipm_cl,78.98806675534763,18.838153160941204,85.22740075409804,1.0,92,82.83589172363281,-0.0014157148608169576,0.015047422831961406,-0.06285580650230552,0.021611503396618395
0000000062,oracle_a,,,,0.0,0,75.34773254394531,0.03986815933958497,0.01749487178506026,0.1144413014076952,-0.15204488235727362
0000000062,oracle_b,78.46013850672885,16.258798790611632,82.1408475969463,0.8104575163398693,153,87.72084045410156,-0.00545548324794288,0.02273607270773583,-0.03989477486015159,0.0064333101889589754
0000000065,ipm_cl,159.00889899594463,20.729312877981087,172.73861610922324,0.7657657657657657,111,134.61293029785156,-0.008729778055882532,0.027288313749294094,0.06151708966603306,0.034621196617377864
0000000065,oracle_a,,,,0.0,0,132.406982421875,0.017165677800463113,0.1132367646249243,0.27629980832123424,0.20794276840664974
0000000065,oracle_b,158.3935213729492,41.85366599578219,172.5290049169038,0.6416666666666667,120,127.63170623779297,-0.006592473148075672,0.030642309455994558,0.06669758438276756,-0.010056044954429235
0000000069,ipm_cl,79.32283943407538,37.701600552612256,81.73861604901113,0.8839779005524862,181,80.28547668457031,-0.004569868005580774,0.04281011156598136,-0.07378081204276772,0.11472477830785668
0000000069,oracle_a,59.94554679680318,179.28259729508434,66.09546256441465,1.0,4,75.05753326416016,-0.0323842664898299,0.05675516494932917,-0.04316810527443742,0.09782653585866206
0000000069,oracle_b,77.79017618015736,46.460726325397644,79.35608627960205,0.9503105590062112,161,79.9268798828125,-0.004503099845706855,0.04206679141987194,-0.031987963477737004,0.07101338026505918
0000000072,ipm_cl,40.98782323108412,49.79559889838566,46.24948093731259,0.9836065573770492,61,44.98303985595703,0.0018275754177974398,0.032834439698295775,-0.002727210572721434,0.06566506193488277
0000000072,oracle_a,32.36316582215888,42.04169256117498,42.999356935701016,0.7777777777777778,9,38.115360260009766,-0.020812541945389992,0.07189788526208729,-0.26065233953968103,0.21832484641068894
0000000072,oracle_b,37.88957013688372,69.44375052339078,55.86959471852906,0.9666666666666667,30,41.9950065612793,0.0003522259710788505,0.03322558759156138,0.022423531141927102,0.04362779629996285
0000000076,ipm_cl,48.16730733623628,15.188845738731848,52.87552854175972,1.0,10,61.624732971191406,0.008305809263772557,0.02815976321301858,-0.045223879282562995,0.09789589339953739
0000000076,oracle_a,73.36078934389816,60.95379446276207,74.75378837271926,1.0,9,72.11516571044922,-0.0005091408277020226,0.10259701944373967,-0.18826619678471201,0.17327794886593786
0000000076,oracle_b,97.99255621580853,59.77278360651935,78.36851926192674,0.56,150,91.47901916503906,0.0026949674377753892,0.025799148918383138,-0.05589766155001943,0.031875106732107895
0000000079,ipm_cl,46.49806318621473,46.697235730467746,54.24950218101064,0.9826086956521739,115,50.13957977294922,-0.016428476586085566,0.027932228696235697,-0.07659350808240967,0.050731818531595606
0000000079,oracle_a,75.1347535800123,67.06234531538803,89.95059142959414,0.8,20,66.48182678222656,0.00906963235119229,0.04922558519548788,-0.1963817282934942,0.038203184405658404
0000000079,oracle_b,45.924997319923285,29.357695325288176,44.541611048512095,0.8682634730538922,167,50.39348220825195,-0.013945111652819184,0.029271060827074168,-0.07591707416576125,0.03830040797326792
0000000083,ipm_cl,83.39525504939911,29.897978041993746,85.59616919089173,1.0,107,85.0094223022461,-0.0211078376350118,0.029649726984879634,-0.10178214065335438,0.07768640337631802
