step,split,ce,cert,top1,top5,cell_err_m,n,sec
2091,train,3.6799,0.3207,0.0563,0.1688,21.28,160,2.1
2092,train,4.2077,0.4683,0.0000,0.0342,11.89,146,0.6
2093,train,4.0094,0.3211,0.0063,0.1572,13.48,159,1.8
2094,train,3.6831,0.2829,0.0432,0.2346,8.84,162,2.0
2095,train,3.5788,0.3224,0.0307,0.1350,22.20,163,1.7
2096,train,4.0350,0.2896,0.0062,0.0497,24.84,161,0.8
2097,train,3.4896,0.3390,0.0061,0.0242,18.30,165,0.8
2098,train,4.7993,0.3680,0.0000,0.0068,23.11,147,1.8
2099,train,3.4765,0.2711,0.0250,0.1125,15.46,160,1.6
2100,train,3.5827,0.3162,0.0323,0.2968,10.00,155,2.1
2101,train,4.4495,0.3189,0.0000,0.0063,20.82,160,1.7
2102,train,3.5092,0.3239,0.0733,0.3733,8.39,150,2.1
2103,train,3.2167,0.3368,0.0864,0.3765,8.82,162,1.7
2104,train,3.6385,0.2926,0.0067,0.1409,9.93,149,2.2
2105,train,4.9591,0.3601,0.0061,0.0061,20.34,164,0.6
2106,train,3.4517,0.4915,0.1467,0.5933,7.05,150,0.6
2107,train,4.7558,0.2969,0.0000,0.0000,34.67,161,1.8
2108,train,4.5617,0.3999,0.0000,0.0000,19.69,146,1.6
2109,train,3.7441,0.3450,0.0000,0.0000,43.54,148,1.4
2110,train,3.5079,0.2720,0.0859,0.3988,8.46,163,1.7
2111,train,3.2697,0.4018,0.0272,0.4082,11.28,147,0.6
2112,train,3.4354,0.3330,0.0062,0.0556,24.95,162,1.6
2113,train,4.3092,0.3423,0.0458,0.1242,18.30,153,1.7
2114,train,4.3624,0.2890,0.0000,0.0000,23.32,159,2.0
2115,train,3.5083,0.3051,0.0645,0.2323,12.15,155,2.1
2116,train,4.5382,0.3187,0.0000,0.0000,9.73,163,1.9
2117,train,3.7284,0.3160,0.0500,0.1688,10.41,160,1.7
2118,train,3.9367,0.2904,0.0062,0.0864,20.15,162,0.8
2119,train,3.6798,0.3342,0.0000,0.0000,31.12,162,1.6
2120,train,3.9440,0.3846,0.0133,0.0533,17.84,150,1.7
2121,train,5.2131,0.4094,0.0073,0.0146,21.01,137,0.6
2122,train,3.1289,0.3101,0.0793,0.5061,9.42,164,2.1
2123,train,3.5513,0.2818,0.0186,0.1739,15.34,161,0.7
2124,train,3.7552,0.3647,0.0065,0.0516,14.53,155,1.4
2125,train,3.7338,0.2956,0.0247,0.1667,14.12,162,1.8
2126,train,4.0166,0.3073,0.0195,0.1364,10.86,154,1.4
2127,train,3.8636,0.3268,0.0000,0.0364,22.69,165,0.7
2128,train,4.2968,0.2659,0.0000,0.0000,15.08,161,0.8
2129,train,4.4146,0.3175,0.0063,0.0188,19.13,160,2.0
2130,train,4.1268,0.3940,0.0000,0.0203,12.12,148,0.8
2131,train,3.5298,0.2444,0.0186,0.2236,10.41,161,1.7
2132,train,4.2054,0.3898,0.0143,0.1143,22.04,140,1.7
2133,train,3.5123,0.2658,0.0255,0.1783,18.88,157,1.9
2134,train,5.6617,0.2594,0.0000,0.0000,28.68,162,0.8
2135,train,4.2276,0.3097,0.0245,0.0920,19.29,163,0.8
2136,train,3.9880,0.3722,0.0000,0.0066,27.24,152,1.9
2137,train,3.4351,0.2821,0.0755,0.3522,7.87,159,2.1
2138,train,3.8982,0.2579,0.0063,0.0633,14.66,158,1.4
2139,train,3.2864,0.2933,0.1338,0.4841,9.13,157,1.6
2140,train,3.4869,0.2702,0.0443,0.3101,12.10,158,1.6
2141,train,3.4220,0.2607,0.0750,0.3438,9.45,160,1.6
2142,train,3.3063,0.3809,0.0188,0.2000,14.47,160,1.6
2143,train,4.5264,0.3163,0.0000,0.0064,11.97,156,2.0
2144,train,3.6981,0.4112,0.0408,0.3129,10.77,147,2.2
2145,train,4.0732,0.3436,0.0000,0.0065,38.43,153,1.9
2146,train,3.7627,0.2860,0.0500,0.3063,8.94,160,0.8
2147,train,3.5103,0.3387,0.0724,0.4211,6.96,152,0.8
2148,train,4.1590,0.3059,0.0191,0.1274,9.82,157,1.8
2149,train,3.3754,0.3295,0.0816,0.2653,7.82,147,1.8
2150,train,4.3584,0.3523,0.0000,0.0132,24.73,152,1.4
2151,train,4.0806,0.2427,0.0184,0.0736,16.81,163,0.6
2152,train,3.6960,0.2961,0.0185,0.1481,12.20,162,2.2
2153,train,3.4347,0.3880,0.0312,0.1187,22.89,160,0.8
2154,train,3.3996,0.3063,0.0329,0.2368,11.09,152,1.5
2155,train,4.2661,0.3086,0.0189,0.0566,12.21,159,0.8
2156,train,3.8923,0.2908,0.0125,0.1000,10.69,160,1.8
2157,train,3.7345,0.3203,0.0000,0.1267,17.87,150,0.8
2158,train,3.5840,0.3138,0.0252,0.2201,11.28,159,0.8
2159,train,3.0278,0.2862,0.1429,0.4969,9.75,161,1.6
2160,train,4.2115,0.3164,0.0062,0.0432,18.67,162,0.8
2161,train,3.4144,0.2499,0.0798,0.3497,7.88,163,1.9
2162,train,4.1508,0.2749,0.0000,0.0000,29.38,158,1.9
