step,split,ce,acc,cell_err,sec_per_step,gpu_gb,align_cos
25,train,7.952905693054199,0.0001587301678955555,16.689105415344237,1.4658666229248047,4.571013927459717,-0.08073340013623237
50,train,7.7001245498657225,0.0005461323447525501,17.329871654510498,1.4193630027770996,4.571013927459717,-0.07748979601077735
75,train,7.602037715911865,0.001442924700677395,15.738019638061523,1.3741489505767823,4.571013927459717,-0.05847074669320136
100,train,7.501419620513916,0.0015204031765460968,13.657719402313232,1.2724444961547852,4.584827899932861,-0.07813660848885774
125,train,7.429659900665283,0.0015381719917058946,15.100462627410888,1.2352867965698242,4.584827899932861,-0.07668700587004423
150,train,7.363595333099365,0.002156083956360817,14.30672981262207,1.2561308320363362,4.584827899932861,-0.06728210240136832
175,train,7.141779632568359,0.001140544041991234,12.658273906707764,1.2621365233830044,4.584827899932861,-0.09271605772897601
200,train,7.44039155960083,0.0013669345155358315,14.308909339904785,1.2483255541324616,4.584827899932861,-0.10368599662091584
225,train,7.094731826782226,0.0012227524444460868,12.40473892211914,1.2165846559736464,4.584827899932861,-0.0776782362908125
250,train,7.207679748535156,0.0006542599387466908,13.769456844329834,1.1905761499404908,4.584827899932861,-0.0840953209809959
250,val,7.13658482804724,0.002288329483931252,11.364287643374421,,,-0.03170584016575455
275,train,7.090441513061523,0.0027945252880454065,11.876840686798095,1.2216864048350942,4.584827899932861,-0.09117792763747275
300,train,7.007820549011231,0.003665795437991619,12.162314586639404,1.1988937560717265,4.584827899932861,-0.0805369594693184
325,train,6.9781199645996095,0.002347086612135172,11.27162561416626,1.179911117553711,4.584827899932861,-0.06926382177043706
350,train,6.746142177581787,0.004243109803646803,9.716141872406006,1.1636818422589983,4.584827899932861,-0.07220692172239068
375,train,7.016044578552246,0.0027058745548129083,12.503604888916016,1.1494766693115235,4.588634490966797,-0.08679200607351958
400,train,6.915035667419434,0.002505221404135227,10.638318138122559,1.1368816584348678,4.588634490966797,-0.04836824645986781
425,train,7.185568790435791,0.0028719963505864144,12.333347263336181,1.1261816383810603,4.588634490966797,-0.0691234201285988
450,train,6.923513870239258,0.0019057871401309968,11.785346965789795,1.1164706415600247,4.588634490966797,-0.07902002905029804
475,train,6.845780658721924,0.0014497747644782067,11.951694221496583,1.1076089000701905,4.588634490966797,-0.053471868094056844
500,train,6.950942287445068,0.004871380738914013,11.673121747970582,1.099633078098297,4.588634490966797,-0.07081305578147294
500,val,6.977629586997422,0.0026697177155061273,11.803535426144924,,,-0.03177837800152151
525,train,6.822414264678955,0.004684454314410686,9.990485191345215,1.1202035363515217,4.600423336029053,-0.08786989789456129
