step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
79,train,3.0767,0.1628,6.17,2.9594,4.36,1290,66.5,nan,nan
80,train,3.4973,0.1106,8.24,2.8104,8.59,1429,67.3,nan,nan
81,train,4.4141,0.0446,13.30,4.0554,11.56,1389,68.1,nan,nan
82,train,3.8718,0.0722,11.02,3.1928,8.57,1288,68.9,nan,nan
83,train,4.3438,0.0616,13.36,4.2577,15.44,1526,69.6,nan,nan
84,train,4.4693,0.0810,12.03,4.4473,13.30,1346,70.4,nan,nan
85,train,3.1273,0.1186,8.64,2.5175,7.82,1282,71.2,nan,nan
86,train,3.0689,0.2206,6.96,2.8963,7.48,1419,72.0,nan,nan
87,train,3.1448,0.2097,6.48,3.1232,7.65,1378,72.7,nan,nan
88,train,3.7849,0.0395,8.27,3.2466,8.24,1443,73.5,nan,nan
89,train,3.4781,0.0971,7.60,2.9405,4.21,1380,74.3,nan,nan
90,train,3.0954,0.1652,6.73,2.6336,3.91,1326,75.1,nan,nan
91,train,3.9766,0.0573,10.67,3.6377,8.97,1362,75.8,nan,nan
92,train,4.6788,0.0406,14.60,4.3414,15.89,1304,76.6,nan,nan
93,train,3.4184,0.0952,7.78,2.9059,5.48,1344,77.4,nan,nan
94,train,4.3498,0.0902,9.94,4.9839,13.01,1341,78.2,nan,nan
95,train,4.1368,0.0534,13.08,3.8601,13.39,1349,78.9,nan,nan
96,train,3.4910,0.1515,8.58,3.4550,8.53,1366,79.7,nan,nan
97,train,2.8245,0.1445,4.89,2.3943,2.91,1363,80.5,nan,nan
98,train,3.5657,0.1165,8.56,3.6909,9.47,1408,81.3,nan,nan
99,train,2.4786,0.2393,4.79,2.0791,4.50,1404,82.0,nan,nan
100,train,3.8659,0.0142,10.02,3.8969,9.48,1404,82.8,nan,nan
101,train,4.6505,0.0262,13.26,4.6318,16.52,1375,83.6,nan,nan
102,train,3.1944,0.1484,6.88,2.9569,3.74,1368,84.4,nan,nan
103,train,3.5254,0.1024,7.48,3.3032,6.65,1318,85.1,nan,nan
104,train,4.7014,0.0781,13.20,4.7540,14.42,1357,85.9,nan,nan
105,train,3.7923,0.0222,10.10,3.4727,9.72,1354,86.7,nan,nan
106,train,3.0980,0.2228,7.97,3.4532,10.11,1445,87.5,nan,nan
107,train,2.9011,0.1166,6.12,2.6955,5.83,1312,88.2,nan,nan
108,train,3.9492,0.0523,10.54,3.7780,9.61,1434,89.0,nan,nan
109,train,3.7226,0.0814,10.15,3.4545,11.08,1389,89.8,nan,nan
110,train,3.5429,0.1510,7.18,3.4655,5.91,1430,90.6,nan,nan
111,train,2.9967,0.1562,5.39,2.6125,3.62,1402,91.3,nan,nan
112,train,3.6773,0.0454,7.99,3.4520,8.91,1389,92.1,nan,nan
113,train,3.0342,0.1283,5.68,2.8409,4.62,1403,92.9,nan,nan
114,train,2.3972,0.3229,4.49,2.0760,3.83,1310,93.7,nan,nan
115,train,3.8076,0.0450,9.35,3.5748,10.87,1443,94.5,nan,nan
116,train,3.3659,0.1278,8.55,3.3532,9.01,1369,95.2,nan,nan
117,train,4.4734,0.0430,11.13,3.7971,8.13,1326,96.0,nan,nan
118,train,3.6134,0.1109,11.56,3.6047,11.86,1362,96.8,nan,nan
119,train,3.5248,0.1203,9.90,2.9658,6.45,1363,97.6,nan,nan
120,train,3.7626,0.1087,10.06,3.7307,9.94,1444,98.3,nan,nan
121,train,3.0706,0.1715,6.17,3.2217,4.33,1388,99.1,nan,nan
122,train,3.9563,0.0741,10.25,3.4601,8.61,1376,99.9,nan,nan
123,train,3.4078,0.1213,8.24,2.9209,3.21,1261,100.7,nan,nan
124,train,4.1784,0.0910,11.18,4.3167,12.06,1428,101.4,nan,nan
125,train,3.2318,0.1308,7.38,3.0172,6.70,1338,102.2,nan,nan
126,train,3.8111,0.0934,9.63,3.3683,7.74,1349,103.0,nan,nan
127,train,3.7203,0.1073,9.47,3.7379,8.32,1379,103.8,nan,nan
128,train,4.1668,0.0556,10.75,3.7470,10.00,1402,104.5,nan,nan
129,train,3.3802,0.1011,7.49,3.3814,7.65,1365,105.3,nan,nan
130,train,3.9362,0.0743,11.43,3.7347,13.26,1360,106.1,nan,nan
131,train,4.0185,0.0472,11.05,3.6325,9.54,1336,106.9,nan,nan
132,train,3.3621,0.1365,7.11,2.9175,6.18,1363,107.6,nan,nan
133,train,3.3123,0.1665,7.59,2.9880,5.62,1387,108.4,nan,nan
134,train,3.9024,0.0441,11.48,4.0342,9.40,1271,109.2,nan,nan
135,train,3.8271,0.1560,8.06,3.9213,7.75,1365,110.0,nan,nan
136,train,3.5887,0.0759,8.42,3.2290,8.16,1291,110.7,nan,nan
137,train,4.8364,0.0674,13.18,4.4516,14.79,1364,111.5,nan,nan
138,train,4.2091,0.0183,11.97,3.7868,11.98,1315,112.3,nan,nan
139,train,3.6448,0.1050,8.50,3.2354,6.95,1390,113.1,nan,nan
140,train,3.4214,0.0884,8.83,3.3907,6.62,1335,113.8,nan,nan
141,train,3.5715,0.0992,9.35,3.2451,7.48,1381,114.6,nan,nan
142,train,3.4373,0.1099,8.20,3.1384,7.66,1310,115.4,nan,nan
143,train,3.6925,0.1116,10.20,3.0243,8.97,1326,116.2,nan,nan
144,train,3.3730,0.0533,6.83,3.1209,6.63,1352,117.0,nan,nan
145,train,3.6661,0.1467,9.08,3.4979,8.86,1404,117.7,nan,nan
146,train,3.5926,0.1386,7.96,3.8409,8.81,1392,118.5,nan,nan
147,train,3.6391,0.0942,12.17,3.5727,12.54,1338,119.3,nan,nan
148,train,4.2433,0.0299,15.34,4.1376,16.78,1404,120.1,nan,nan
149,train,3.4549,0.0932,9.36,3.0896,10.05,1277,120.8,nan,nan
150,train,2.7034,0.2518,6.68,2.6837,9.97,1394,121.6,nan,nan
151,train,3.8405,0.0435,8.93,3.8414,10.46,1471,122.4,nan,nan
152,train,3.7584,0.0913,9.88,3.4329,7.87,1391,123.2,nan,nan
153,train,3.2524,0.2037,8.09,3.0157,8.20,1365,123.9,nan,nan
154,train,3.3335,0.1642,9.56,3.3866,8.07,1376,124.7,nan,nan
155,train,3.3377,0.1224,8.40,3.2806,6.26,1381,125.5,nan,nan
156,train,3.5875,0.0970,11.72,3.2249,11.00,1330,126.3,nan,nan
157,train,3.4956,0.0972,8.76,3.1665,6.40,1368,127.0,nan,nan
158,train,3.9478,0.1279,15.80,3.7876,17.37,1368,127.8,nan,nan
159,train,3.5878,0.0475,7.73,3.2051,5.53,1389,128.6,nan,nan
160,train,4.5052,0.0414,14.02,4.3878,14.54,1401,129.4,nan,nan
161,train,2.7604,0.1289,5.74,2.5988,6.27,1458,130.1,nan,nan
162,train,3.2148,0.0863,7.22,3.1193,6.32,1460,130.9,nan,nan
