step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
96,train,3.5851,0.0770,7.73,3.5069,8.32,701,53.3
97,train,3.3956,0.0447,8.72,2.7946,7.02,716,53.8
98,train,4.0643,0.1564,11.60,4.2094,12.45,716,54.3
99,train,4.0600,0.0755,10.94,3.8686,10.10,715,54.8
100,train,3.8681,0.0406,8.06,4.5795,8.65,715,55.4
101,train,3.3612,0.1382,8.52,3.2628,9.39,702,55.9
102,train,2.5948,0.2247,4.13,2.2758,3.41,770,56.4
103,train,4.3685,0.0287,14.19,4.6251,15.72,662,56.9
104,train,3.1165,0.2115,6.55,2.1515,4.24,714,57.4
105,train,5.0494,0.0042,14.78,4.7596,13.46,714,58.0
106,train,4.8626,0.0458,16.06,4.7556,12.32,742,58.5
107,train,3.6687,0.1397,14.43,3.2375,16.22,716,59.0
108,train,3.8985,0.0356,11.98,4.1072,13.32,702,59.5
109,train,3.0991,0.1719,5.81,2.1938,3.00,704,60.0
110,train,2.5913,0.1452,5.85,2.4187,5.65,744,60.6
111,train,3.3434,0.1323,10.48,3.3609,11.90,756,61.1
112,train,3.0710,0.1468,6.15,2.6318,7.51,770,61.6
113,train,3.7129,0.1659,10.09,3.9310,7.71,663,62.2
114,train,4.3404,0.0624,12.84,3.7771,12.10,673,62.7
115,train,2.4355,0.3860,3.64,2.0566,2.00,702,63.2
116,train,5.0602,0.0307,15.14,5.5888,13.20,716,63.8
117,train,3.2937,0.1277,9.32,3.2764,8.34,728,64.3
118,train,3.2819,0.1877,6.63,3.1003,5.24,714,64.8
119,train,4.3245,0.0336,12.23,4.0830,13.47,715,65.3
120,train,4.5734,0.0385,10.19,3.9451,11.10,702,65.8
121,train,4.4050,0.0591,11.57,4.6231,7.58,728,66.5
122,train,3.2003,0.2063,8.91,3.3741,9.74,756,67.1
123,train,3.6320,0.1020,12.77,3.6130,13.41,716,67.7
124,train,3.0094,0.1887,6.59,2.6164,7.54,742,68.3
125,train,2.9321,0.1795,4.32,2.6966,3.41,730,68.9
126,train,2.6621,0.4060,6.78,2.7501,8.32,702,69.5
127,train,2.7195,0.1472,5.50,2.6467,7.00,686,70.0
128,train,3.8196,0.0948,13.75,3.8837,14.47,770,70.6
129,train,4.0437,0.0302,16.14,3.4984,14.15,662,71.1
130,train,3.3028,0.0714,7.82,2.9786,7.16,756,71.6
131,train,3.4456,0.1442,7.13,2.4715,4.65,756,72.1
132,train,3.2932,0.1286,8.17,2.9769,6.24,770,72.7
133,train,3.1474,0.1006,6.18,2.6618,6.83,716,73.2
134,train,3.1291,0.1449,6.88,3.0501,8.00,690,73.7
135,train,2.7737,0.1225,5.45,3.3958,5.24,702,74.3
136,train,3.1421,0.1008,6.43,3.4029,6.00,744,74.8
137,train,3.2878,0.2535,8.98,3.2024,9.28,718,75.3
138,train,3.5861,0.0192,10.17,3.0943,7.24,678,75.8
139,train,3.8604,0.1511,10.81,3.6068,9.60,728,76.4
140,train,3.6649,0.1134,9.25,3.2276,10.73,714,76.9
141,train,3.2344,0.0849,10.97,3.0451,12.07,742,77.4
142,train,2.8897,0.2233,8.37,3.4623,9.75,730,78.0
143,train,2.9494,0.1140,6.13,2.4866,4.41,728,78.5
144,train,2.7414,0.2179,6.69,2.1725,4.00,716,79.1
145,train,4.4509,0.0281,13.03,4.4810,17.84,676,79.6
