step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
94,train,4.0668,0.0856,13.31,3.9143,14.47,1378,76.1
95,train,3.4950,0.1282,8.35,3.4160,9.89,1365,76.9
96,train,2.5621,0.2207,5.09,2.4368,4.91,1282,77.6
97,train,3.5818,0.1379,8.74,3.0749,6.91,1378,78.4
98,train,3.4862,0.1913,8.42,3.0585,6.78,1401,79.2
99,train,3.4934,0.1265,9.65,3.0569,9.51,1470,80.0
100,train,3.6119,0.1072,8.43,3.0097,6.89,1418,80.7
101,train,3.3482,0.1218,8.71,3.3048,12.55,1379,81.5
102,train,3.5263,0.0974,10.61,3.7739,10.45,1314,82.3
103,train,3.4572,0.0782,8.84,3.3832,5.45,1432,83.0
104,train,3.6786,0.0699,8.73,3.3649,7.83,1316,83.8
105,train,3.0504,0.2328,5.45,2.7154,4.24,1392,84.6
106,train,3.5471,0.1736,9.42,3.2584,7.45,1313,85.4
107,train,3.5256,0.1106,8.95,3.0087,8.12,1429,86.1
108,train,3.7926,0.1621,7.62,3.8220,7.68,1456,86.9
109,train,3.0863,0.1725,7.95,3.0078,7.02,1362,87.7
110,train,3.4816,0.1460,8.55,3.4522,10.90,1418,88.4
111,train,4.2793,0.0428,12.57,3.8855,12.79,1354,89.2
112,train,3.5037,0.2149,11.34,3.1923,11.73,1433,90.0
113,train,3.1671,0.1213,5.66,2.6142,3.62,1418,90.8
114,train,3.3868,0.1494,9.75,3.1334,8.39,1446,91.5
115,train,4.2396,0.0509,11.37,4.0805,12.85,1415,92.3
116,train,3.5594,0.2061,8.92,3.6640,9.30,1446,93.1
117,train,2.7930,0.2041,5.07,2.7068,6.62,1416,93.8
118,train,4.8225,0.0636,13.56,5.1688,14.20,1384,94.6
119,train,3.8118,0.1413,10.74,3.8913,12.05,1430,95.4
120,train,3.2578,0.1719,6.96,3.1377,6.33,1338,96.1
121,train,3.5889,0.1205,10.02,3.3624,9.02,1419,96.9
122,train,3.7538,0.0633,9.92,3.2673,6.18,1342,97.7
123,train,3.5662,0.0768,9.12,3.2824,9.42,1459,98.5
124,train,3.5898,0.0732,8.99,3.4138,6.95,1353,99.2
125,train,3.2079,0.1169,8.05,3.1525,6.53,1377,100.0
126,train,3.7175,0.0919,10.55,3.6724,12.95,1436,100.8
127,train,3.7847,0.0450,8.70,3.6825,8.14,1445,101.5
128,train,4.0338,0.0317,9.92,3.9314,10.35,1390,102.3
129,train,3.3457,0.1061,8.90,3.1721,9.99,1367,103.1
130,train,4.2237,0.1085,11.38,4.0104,12.09,1364,103.8
131,train,4.2144,0.0470,10.53,4.0577,10.68,1404,104.6
132,train,3.2951,0.1151,9.86,3.1496,12.90,1286,105.4
133,train,3.2089,0.1268,8.01,2.7728,6.00,1341,106.2
134,train,3.1392,0.1546,7.16,3.1955,8.32,1404,106.9
135,train,3.1118,0.2022,6.54,3.0691,5.91,1340,107.7
136,train,3.6202,0.0755,11.54,3.7665,12.00,1338,108.5
137,train,2.9639,0.2464,6.26,2.8446,6.53,1445,109.2
138,train,4.0893,0.0882,13.96,3.9168,13.67,1349,110.0
139,train,3.2728,0.1547,8.12,2.8234,9.14,1474,110.8
140,train,3.5969,0.0748,9.89,3.3221,7.05,1217,111.5
141,train,3.3979,0.1431,8.02,2.9996,4.54,1349,112.3
