step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
96,train,4.1950,0.1135,8.02,4.4663,11.02,784,58.7
97,train,3.7806,0.0561,6.21,3.2370,5.83,784,59.2
98,train,3.0245,0.1645,4.06,2.9214,3.12,784,59.8
99,train,2.6746,0.2245,2.20,1.6434,1.21,784,60.3
100,train,2.8201,0.2334,3.75,2.5239,2.12,784,60.9
101,train,5.0493,0.0408,9.29,4.6913,7.04,784,61.4
102,train,4.7930,0.1276,13.56,4.5056,20.91,784,62.0
103,train,5.2075,0.0115,11.27,4.8381,13.87,784,62.7
104,train,5.3406,0.0064,14.44,4.6644,12.19,784,63.2
105,train,3.8822,0.0918,3.22,2.8034,3.06,784,64.0
106,train,6.1490,0.0676,10.03,6.1169,11.69,784,64.5
107,train,3.0932,0.1378,4.99,2.4743,4.71,784,65.0
108,train,3.0555,0.0893,3.17,2.6418,3.12,784,65.6
109,train,4.9316,0.0230,8.47,4.1639,9.97,784,66.1
110,train,5.4525,0.1020,13.78,5.4186,14.61,784,66.6
111,train,3.7126,0.1849,6.09,3.0904,5.21,784,67.2
112,train,3.9112,0.1735,4.12,3.8802,3.01,784,67.9
113,train,5.3026,0.0689,13.35,4.7034,12.43,784,68.5
114,train,5.1376,0.0969,13.40,4.7268,13.80,784,69.0
115,train,3.1726,0.1645,3.23,2.3837,1.83,784,69.5
116,train,3.9856,0.2334,8.89,3.6281,7.41,784,70.3
117,train,4.4238,0.0612,7.32,3.2060,2.83,784,70.9
118,train,4.3521,0.1837,10.83,4.0649,12.84,784,71.5
119,train,4.2755,0.0268,8.09,3.5547,8.56,784,72.0
120,train,3.1570,0.0906,3.36,3.4850,3.82,784,72.5
121,train,3.9064,0.1288,7.72,3.3544,5.65,784,73.1
122,train,5.6896,0.0204,12.09,5.4585,11.14,784,73.6
123,train,5.8754,0.0115,15.87,5.5837,12.89,784,74.2
124,train,3.9063,0.0523,5.26,3.7018,4.67,784,74.7
125,train,3.3489,0.2411,4.48,3.7585,4.56,784,75.2
126,train,3.1420,0.2015,3.30,2.4512,1.71,784,75.8
127,train,3.2698,0.2372,3.60,3.1490,2.12,784,76.3
128,train,5.1794,0.0727,11.08,5.0892,8.52,784,76.8
129,train,4.7826,0.0702,11.25,4.9037,8.83,784,77.4
130,train,4.1039,0.0931,7.89,3.2291,6.02,784,78.0
131,train,5.2786,0.0153,9.77,5.6676,6.18,784,78.6
132,train,3.8415,0.0421,5.14,3.3900,3.89,784,79.1
133,train,4.2631,0.1352,9.67,4.0796,9.22,784,79.6
134,train,3.9323,0.0612,8.41,3.5999,9.77,784,80.2
135,train,5.1344,0.0536,10.63,4.8032,8.63,784,80.8
136,train,5.1650,0.0255,16.15,4.7065,13.25,784,81.3
137,train,3.4916,0.1339,4.53,3.7718,5.66,784,81.9
138,train,2.6597,0.3571,4.36,3.0748,3.77,784,82.4
139,train,4.9154,0.0306,8.81,4.1928,9.92,784,83.0
140,train,4.4371,0.0421,9.34,4.3772,6.59,784,83.5
141,train,4.8754,0.0179,15.90,4.6824,17.98,784,84.0
142,train,4.1217,0.1569,8.35,4.2465,8.60,784,84.5
143,train,3.1601,0.1110,3.17,3.1730,2.74,784,85.2
144,train,4.0773,0.1926,6.08,3.4601,7.27,784,85.7
145,train,2.8397,0.2653,3.16,3.2243,3.98,784,86.3
146,train,2.9880,0.3048,7.01,2.8948,6.11,784,86.8
147,train,3.3937,0.0944,4.96,3.0327,4.65,784,87.4
148,train,4.1016,0.1110,6.89,4.1064,6.73,784,87.9
149,train,4.6570,0.1416,6.89,4.5052,5.32,784,88.4
150,train,7.1633,0.0000,22.73,7.1421,23.88,784,89.0
151,train,5.0595,0.0485,8.80,4.7657,8.88,784,89.6
152,train,3.1552,0.2360,5.72,2.7651,5.52,784,90.1
153,train,3.5436,0.1824,4.99,4.0973,4.40,784,90.9
154,train,2.9469,0.2423,4.57,2.8771,7.21,784,91.6
155,train,5.8129,0.0242,13.22,4.9198,11.07,784,92.1
156,train,6.2604,0.0000,18.15,6.3090,22.78,784,92.7
157,train,4.3039,0.1339,9.47,4.7178,10.53,784,93.2
158,train,4.0194,0.0651,8.79,3.5756,7.09,784,93.7
159,train,4.5947,0.0344,8.27,4.9177,8.12,784,94.3
160,train,4.0467,0.1518,7.66,4.3402,4.29,784,94.9
161,train,4.3868,0.1505,9.19,4.2469,11.02,784,95.4
162,train,4.5747,0.0255,7.70,3.5702,9.76,784,95.9
163,train,3.5201,0.1352,6.84,3.3047,7.79,784,96.5
164,train,4.2083,0.0753,10.42,3.8484,11.62,784,97.0
165,train,2.8839,0.2564,2.55,3.5109,3.03,784,97.5
166,train,2.9666,0.1875,2.63,2.2991,2.83,784,98.0
167,train,3.4943,0.2908,5.19,3.1276,4.50,784,98.6
168,train,4.0741,0.1046,6.05,3.7289,3.00,784,99.1
169,train,4.3144,0.0599,8.61,4.2271,11.48,784,99.6
170,train,4.7559,0.0561,13.51,4.5251,12.20,784,100.2
171,train,5.0179,0.0740,8.10,4.6931,7.08,784,100.9
172,train,4.4515,0.0625,11.67,4.0371,13.13,784,101.5
173,train,4.3123,0.1084,7.34,4.1338,7.54,784,102.1
174,train,3.1607,0.1569,3.10,3.3451,3.33,784,102.6
175,train,4.1608,0.1033,5.49,3.6414,3.06,784,103.1
176,train,4.4096,0.0689,8.22,4.1955,9.65,784,103.7
177,train,3.4060,0.1492,3.20,3.4269,3.00,784,104.2
178,train,4.9372,0.1875,9.70,4.1601,9.68,784,104.8
179,train,3.6687,0.0829,7.62,3.8577,11.64,784,105.3
180,train,2.9553,0.1518,4.51,2.9689,5.74,784,106.1
181,train,4.4838,0.1110,12.04,3.9480,10.74,784,106.8
182,train,5.2152,0.0153,10.80,4.6766,4.82,784,107.4
183,train,3.7857,0.1492,5.25,3.5614,4.26,784,108.1
184,train,3.0925,0.1939,5.60,2.2195,5.71,784,108.7
185,train,3.6925,0.0459,4.47,3.1028,3.29,784,109.2
186,train,3.1346,0.1798,7.52,3.0881,8.23,784,109.8
187,train,3.4464,0.1684,6.15,3.1366,9.50,784,110.3
188,train,3.4109,0.1416,3.54,2.3200,2.00,784,110.8
189,train,4.3449,0.1276,12.78,4.3507,13.03,784,111.6
190,train,3.1779,0.2066,3.69,2.6179,2.00,784,112.2
191,train,4.3967,0.0395,8.98,4.0907,12.16,784,112.7
192,train,4.3863,0.0523,8.59,4.1694,9.95,784,113.3
193,train,4.9683,0.2513,13.09,4.6381,12.02,784,113.8
194,train,3.3764,0.1543,4.18,2.4770,1.50,784,114.4
195,train,3.8476,0.1071,11.27,3.8598,12.53,784,115.0
196,train,3.3027,0.1416,4.04,2.7586,3.27,784,115.5
197,train,2.6487,0.1913,2.40,2.5211,2.21,784,116.1
198,train,4.3222,0.0357,6.93,3.1267,5.53,784,116.6
199,train,3.3683,0.1735,5.13,3.1230,5.79,784,117.2
200,train,3.5226,0.0753,5.46,2.9478,5.62,784,117.7
201,train,4.0754,0.0446,7.29,3.3961,2.21,784,118.3
202,train,4.5286,0.0485,7.16,3.6517,11.14,784,119.1
203,train,4.7211,0.0727,12.10,4.9262,15.44,784,119.8
204,train,3.3862,0.2130,7.24,3.2272,7.68,784,120.4
205,train,4.0747,0.1046,7.73,3.8903,7.64,784,121.0
206,train,4.6023,0.0332,8.24,4.3102,9.73,784,121.6
207,train,3.9716,0.0523,5.55,3.8615,3.42,784,122.1
208,train,3.1134,0.1071,3.22,2.0331,1.71,784,122.6
209,train,3.9622,0.0370,4.50,3.1064,3.50,784,123.4
210,train,3.9385,0.0842,7.24,3.4580,7.52,784,124.1
211,train,3.9729,0.0140,9.02,3.7297,9.28,784,124.6
212,train,3.3549,0.1786,4.14,2.8881,2.41,784,125.2
213,train,3.1761,0.2398,3.99,2.8094,4.54,784,125.8
214,train,4.4076,0.0561,11.07,4.3303,12.08,784,126.3
215,train,2.8353,0.2219,4.68,2.7331,4.71,784,127.0
216,train,4.4516,0.0906,7.33,4.2475,8.14,784,127.5
217,train,6.4784,0.0128,15.29,5.7119,13.61,784,128.1
218,train,3.6772,0.1671,6.30,3.1328,3.67,784,128.7
219,train,3.6229,0.0918,3.81,3.1916,3.08,784,129.2
220,train,2.5788,0.3291,4.33,2.5154,5.53,784,129.8
221,train,3.2527,0.1952,3.49,3.1805,3.01,784,130.3
222,train,2.3617,0.3227,2.93,2.1542,5.04,784,130.8
223,train,3.7755,0.1390,4.71,2.6352,6.80,784,131.5
224,train,3.5297,0.0867,5.69,2.9977,1.62,784,132.0
225,train,2.2661,0.3099,1.71,1.8953,1.00,784,132.6
226,train,4.4060,0.0038,6.76,4.1444,10.12,784,133.4
227,train,3.1327,0.1620,3.99,2.8425,2.33,784,133.9
228,train,4.7812,0.0893,8.51,4.7285,8.27,784,134.5
229,train,2.7897,0.2360,4.58,2.1803,7.00,784,135.1
230,train,5.2214,0.1135,14.12,5.3858,12.73,784,135.6
231,train,3.4579,0.2156,9.22,3.0933,12.82,784,136.2
232,train,4.4520,0.1441,8.76,4.6635,8.24,784,136.7
233,train,5.3935,0.0077,14.36,5.0733,18.77,784,137.2
234,train,4.5982,0.1008,8.54,4.4126,7.60,784,137.8
235,train,3.5833,0.2334,7.58,3.4515,6.03,784,138.6
236,train,4.2642,0.2105,7.95,4.3491,8.91,784,139.2
237,train,4.9256,0.0842,6.81,5.3970,8.38,784,139.7
238,train,4.3652,0.0536,9.84,3.8347,12.05,784,140.2
239,train,4.6258,0.0281,7.20,4.3748,7.32,784,140.8
