step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
79,train,3.7192,0.1244,4.95,3.6985,4.63,1568,63.9,nan,nan
80,train,3.6972,0.1103,5.51,3.5355,4.82,1568,64.7,nan,nan
81,train,4.3702,0.0944,7.29,3.6951,5.29,1568,65.4,nan,nan
82,train,4.2043,0.0957,7.59,3.8797,6.53,1568,66.2,nan,nan
83,train,4.4952,0.0344,9.62,4.6854,10.08,1568,67.0,nan,nan
84,train,5.3286,0.1020,12.48,5.2369,14.38,1568,67.7,nan,nan
85,train,4.0755,0.0619,6.18,3.4029,5.78,1568,68.5,nan,nan
86,train,4.1228,0.0708,6.98,3.7880,6.24,1568,69.3,nan,nan
87,train,3.7396,0.1084,5.13,3.7434,6.15,1568,70.0,nan,nan
88,train,4.4990,0.0312,6.69,4.1136,6.47,1568,70.8,nan,nan
89,train,4.5438,0.0886,7.23,4.3805,6.86,1568,71.6,nan,nan
90,train,4.4462,0.1103,7.02,3.9835,6.42,1568,72.3,nan,nan
91,train,5.2484,0.0376,8.01,4.7929,5.58,1568,73.1,nan,nan
92,train,5.1051,0.0089,9.58,4.7530,7.84,1568,73.9,nan,nan
93,train,4.0161,0.0606,5.53,3.9824,5.11,1568,74.6,nan,nan
94,train,6.2108,0.0019,12.25,6.1914,13.34,1568,75.4,nan,nan
95,train,5.1156,0.0485,12.20,4.5388,14.11,1568,76.2,nan,nan
96,train,3.9874,0.0976,5.62,4.3380,5.70,1568,76.9,nan,nan
97,train,3.9843,0.0204,5.54,3.3552,4.13,1568,77.7,nan,nan
98,train,4.7674,0.0223,8.72,4.3871,7.12,1568,78.5,nan,nan
99,train,3.4938,0.0925,2.93,2.4658,1.56,1568,79.2,nan,nan
100,train,4.6034,0.0536,8.54,4.4912,8.68,1568,80.0,nan,nan
101,train,5.3094,0.0147,12.90,5.1293,12.10,1568,80.8,nan,nan
102,train,3.7955,0.1148,4.97,3.3409,3.81,1568,81.5,nan,nan
103,train,4.6069,0.0351,6.54,4.1618,5.80,1568,82.3,nan,nan
104,train,5.9230,0.0344,12.91,5.6664,12.66,1568,83.1,nan,nan
105,train,4.6641,0.0472,7.68,4.4385,6.99,1568,83.8,nan,nan
106,train,4.3946,0.1811,6.77,4.4117,6.39,1568,84.6,nan,nan
107,train,3.8324,0.0842,6.57,4.0396,6.48,1568,85.4,nan,nan
108,train,4.8182,0.0548,6.78,4.5283,4.19,1568,86.1,nan,nan
109,train,5.2393,0.0395,10.07,5.0128,9.25,1568,86.9,nan,nan
110,train,5.0648,0.0064,9.20,5.0095,9.72,1568,87.7,nan,nan
111,train,4.4832,0.0427,6.03,3.8773,3.81,1568,88.4,nan,nan
112,train,3.9575,0.1186,7.23,3.7637,7.44,1568,89.2,nan,nan
113,train,4.1033,0.0657,6.69,3.7932,7.09,1568,90.0,nan,nan
114,train,3.0589,0.1282,3.02,2.5937,2.06,1568,90.8,nan,nan
115,train,5.4267,0.0383,11.99,4.7636,10.36,1568,91.5,nan,nan
116,train,4.0131,0.1078,8.18,3.6550,7.76,1568,92.3,nan,nan
117,train,4.7146,0.0714,10.43,4.7171,8.21,1568,93.1,nan,nan
118,train,4.5605,0.0695,7.43,4.1935,7.31,1568,93.8,nan,nan
119,train,4.2103,0.0612,6.58,4.1285,7.61,1568,94.6,nan,nan
120,train,4.7486,0.0631,9.35,4.2943,7.42,1568,95.4,nan,nan
121,train,3.9882,0.1250,5.16,3.7249,3.41,1568,96.1,nan,nan
122,train,5.2927,0.0370,10.79,4.7101,10.59,1568,96.9,nan,nan
123,train,4.5588,0.0950,9.72,4.1904,9.19,1568,97.7,nan,nan
124,train,5.0540,0.0217,11.46,4.6750,10.16,1568,98.4,nan,nan
125,train,3.8946,0.0823,5.23,3.6040,4.59,1568,99.2,nan,nan
126,train,4.9029,0.0166,9.74,4.5773,9.22,1568,100.0,nan,nan
127,train,4.2161,0.0976,5.88,3.8384,3.23,1568,100.7,nan,nan
128,train,5.1853,0.0172,8.56,4.8667,9.42,1568,101.5,nan,nan
129,train,4.9012,0.0415,8.87,4.6528,7.49,1568,102.3,nan,nan
130,train,4.8052,0.0810,9.12,4.4670,9.73,1568,103.0,nan,nan
131,train,4.4595,0.0727,8.20,4.1391,6.32,1568,103.8,nan,nan
132,train,4.0675,0.0791,4.68,3.1131,4.02,1568,104.6,nan,nan
133,train,5.1398,0.0446,7.95,4.9463,6.99,1568,105.3,nan,nan
134,train,3.8672,0.0950,6.95,3.5428,5.91,1568,106.1,nan,nan
135,train,4.1152,0.1001,6.53,3.8091,5.92,1568,106.9,nan,nan
136,train,4.6411,0.0593,9.26,4.8014,6.79,1568,107.6,nan,nan
137,train,5.7018,0.0089,14.70,5.8668,14.01,1568,108.4,nan,nan
138,train,4.7957,0.0370,12.48,4.3586,13.43,1568,109.2,nan,nan
139,train,4.7875,0.0306,9.27,4.4983,8.33,1568,109.9,nan,nan
