step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
94,train,3.8457,0.1000,9.94,3.1121,7.37,1400,76.3
95,train,4.0624,0.0483,11.48,3.7098,9.70,1325,77.1
96,train,3.7422,0.0280,8.95,3.1446,7.43,1355,77.8
97,train,3.9318,0.1067,9.19,3.9720,7.89,1303,78.6
98,train,4.6868,0.0440,13.30,4.5091,13.32,1273,79.4
99,train,3.6383,0.0547,8.83,3.2978,10.20,1445,80.1
100,train,4.0153,0.0352,12.34,3.9627,12.13,1419,80.9
101,train,4.0647,0.0200,11.96,4.0560,13.18,1498,81.7
102,train,3.8114,0.1340,8.98,3.7572,10.78,1291,82.4
103,train,3.8953,0.0638,12.16,3.5137,13.68,1379,83.2
104,train,3.8687,0.0846,9.93,3.5659,8.73,1289,84.0
105,train,3.6818,0.1129,9.19,3.4934,8.65,1329,84.8
106,train,3.6422,0.1057,7.30,3.3816,6.44,1400,85.5
107,train,4.3727,0.0349,12.15,4.2710,12.01,1375,86.3
108,train,3.2423,0.1429,8.16,3.1625,10.35,1323,87.1
109,train,3.8697,0.1542,9.36,3.5695,9.80,1394,87.8
110,train,3.6048,0.1747,10.96,3.2064,7.94,1265,88.6
111,train,3.7468,0.1223,8.28,3.4200,7.52,1316,89.4
112,train,3.2097,0.1697,5.97,3.1199,4.50,1320,90.2
113,train,3.1336,0.2283,7.89,2.8407,10.94,1327,90.9
114,train,3.8758,0.0933,10.70,3.7655,10.92,1340,91.7
115,train,3.7032,0.0568,10.65,3.1994,11.21,1392,92.5
116,train,4.0106,0.0537,11.38,3.8099,12.91,1378,93.2
117,train,3.2021,0.1418,7.54,3.2752,9.83,1291,94.0
118,train,3.7196,0.1252,10.79,3.7773,11.67,1326,94.8
119,train,3.6093,0.1432,11.70,3.4108,10.63,1362,95.5
120,train,3.3138,0.1545,7.99,3.1841,7.55,1379,96.3
121,train,3.0908,0.1604,6.57,2.9869,6.62,1415,97.1
122,train,3.9027,0.0712,10.28,3.6685,11.62,1419,97.9
123,train,3.8706,0.0990,11.44,3.3071,10.82,1444,98.6
124,train,3.2963,0.1674,7.49,3.1488,7.95,1374,99.4
125,train,3.4356,0.1198,10.20,3.2168,12.18,1344,100.2
126,train,3.8291,0.0722,9.91,3.6927,10.41,1357,100.9
127,train,3.5134,0.1842,9.00,3.1268,10.12,1406,101.7
128,train,3.6424,0.1124,11.02,3.1156,11.25,1299,102.5
129,train,3.7254,0.0531,9.27,3.5013,9.77,1376,103.3
130,train,3.8730,0.0682,11.19,3.7492,9.79,1392,104.0
131,train,3.3792,0.1330,9.15,2.8495,6.84,1278,104.8
132,train,4.1106,0.0151,10.95,3.8627,10.77,1323,105.6
133,train,4.0115,0.0734,11.09,3.7560,8.66,1349,106.3
134,train,3.7475,0.1878,9.79,3.5583,8.47,1326,107.1
135,train,4.1768,0.0725,9.96,4.3001,8.86,1325,107.9
136,train,4.5847,0.1161,12.15,4.0935,10.18,1352,108.6
137,train,3.6396,0.0705,9.41,2.8455,9.67,1432,109.4
138,train,2.9235,0.2231,5.89,2.8704,6.41,1327,110.2
139,train,2.7386,0.2198,5.72,2.1892,3.91,1310,111.0
140,train,3.2886,0.0759,9.21,2.9724,7.44,1383,111.7
141,train,3.7135,0.0781,9.28,3.4111,9.38,1446,112.5
142,train,3.3488,0.1707,7.31,3.3523,5.95,1377,113.3
143,train,3.9513,0.0932,10.40,3.9481,9.98,1341,114.0
144,train,3.7126,0.0622,10.25,3.3093,8.54,1447,114.8
145,train,2.9025,0.2031,5.69,2.6424,5.54,1428,115.6
146,train,3.3734,0.1265,7.64,2.9541,6.97,1375,116.4
147,train,3.5171,0.1283,8.40,3.4074,7.77,1442,117.1
148,train,3.6674,0.1532,10.84,3.4892,10.40,1358,117.9
149,train,4.8312,0.0154,14.88,4.9984,14.04,1296,118.7
150,train,4.2606,0.0658,10.08,3.8982,9.66,1367,119.4
151,train,3.2406,0.1167,6.52,3.1806,4.41,1320,120.2
152,train,4.2219,0.0713,12.95,4.2291,14.35,1444,121.0
153,train,3.4680,0.0960,8.62,2.7411,6.88,1406,121.7
154,train,2.4871,0.2608,4.71,2.7621,5.04,1315,122.5
155,train,3.6383,0.0571,8.91,3.6951,9.39,1367,123.3
156,train,3.7927,0.0417,10.72,3.7198,12.90,1390,124.1
157,train,3.0897,0.1138,6.19,2.7134,5.13,1415,124.8
158,train,3.6726,0.1041,8.79,3.2372,6.54,1403,125.6
159,train,3.5540,0.1375,10.39,3.3732,7.90,1324,126.4
160,train,2.8314,0.1804,4.89,3.2079,5.41,1458,127.1
161,train,4.0616,0.0576,10.27,4.1894,10.42,1354,127.9
162,train,3.6677,0.1390,8.39,3.6564,8.61,1403,128.7
163,train,3.2266,0.1552,6.74,3.1031,5.04,1366,129.5
164,train,4.0237,0.1925,14.78,3.9783,15.77,1273,130.2
165,train,3.5840,0.1304,8.63,3.5402,10.43,1365,131.0
166,train,2.8226,0.1759,6.91,2.3495,6.43,1353,131.8
167,train,3.1965,0.0792,8.38,2.7433,5.70,1414,132.5
168,train,3.2715,0.1076,7.20,3.4535,9.53,1366,133.3
169,train,3.9438,0.0304,13.39,4.0082,11.80,1348,134.1
170,train,2.6404,0.2296,5.17,2.5454,6.56,1394,134.9
171,train,3.6647,0.0737,8.21,2.8576,5.33,1289,135.6
172,train,3.5643,0.1296,10.11,3.1728,11.66,1389,136.4
173,train,3.1571,0.1548,7.23,2.7853,5.83,1389,137.2
174,train,3.7659,0.1198,13.70,3.5722,15.29,1377,137.9
175,train,3.6284,0.1662,10.38,3.3973,8.56,1330,138.7
176,train,3.2182,0.1282,6.91,3.1399,8.02,1404,139.5
177,train,3.4986,0.1045,10.38,3.1488,10.15,1445,140.2
178,train,3.0384,0.1302,6.61,2.8368,6.00,1390,141.0
179,train,3.6974,0.0931,8.27,3.5925,7.02,1343,141.8
180,train,3.7693,0.1551,9.56,3.9027,11.27,1354,142.6
181,train,4.4848,0.0385,11.76,4.7610,13.75,1350,143.3
182,train,4.6631,0.0503,14.01,4.2323,11.69,1352,144.1
183,train,3.6777,0.1366,10.59,3.8551,11.57,1340,144.9
184,train,3.8169,0.1172,13.15,4.0683,13.68,1340,145.6
185,train,2.5759,0.1713,4.87,2.1329,3.71,1378,146.4
186,train,4.0359,0.0939,12.42,3.6443,11.25,1214,147.2
187,train,3.6454,0.1256,8.60,3.2655,8.51,1369,148.0
188,train,3.8253,0.0599,11.68,3.7750,13.12,1418,148.7
189,train,3.4006,0.1241,10.89,3.1855,11.31,1346,149.5
190,train,3.3678,0.1907,8.99,3.2940,11.08,1316,150.3
191,train,3.6962,0.1705,8.78,3.6266,9.34,1378,151.0
192,train,2.9557,0.1848,5.80,2.7486,6.68,1391,151.8
193,train,3.8938,0.1113,13.58,3.9813,14.50,1428,152.6
194,train,3.6098,0.1244,11.07,3.1345,12.70,1310,153.4
195,train,3.7636,0.0810,9.12,3.1032,8.43,1470,154.1
196,train,3.7951,0.0589,10.18,3.7512,12.90,1376,154.9
197,train,3.3836,0.2117,9.89,3.4127,10.49,1431,155.7
198,train,3.9529,0.1784,10.46,3.7471,12.41,1340,156.4
199,train,3.4515,0.0817,9.06,3.5081,9.36,1297,157.2
200,train,3.3649,0.1979,7.10,3.3119,8.17,1339,158.0
201,train,3.3169,0.0956,8.80,2.9822,8.59,1370,158.8
202,train,3.3634,0.1088,6.87,3.3976,8.30,1379,159.5
203,train,3.0705,0.1057,6.25,2.6144,5.20,1381,160.3
204,train,3.8309,0.0558,9.09,3.3158,6.32,1381,161.1
205,train,2.9221,0.2427,5.40,2.5186,4.33,1376,161.8
206,train,3.3247,0.1831,8.57,3.1679,10.11,1409,162.6
207,train,3.9245,0.1598,11.23,3.9075,12.88,1352,163.4
208,train,4.3831,0.0604,12.06,3.7785,11.08,1340,164.1
209,train,3.5339,0.0495,9.95,3.5206,11.96,1375,164.9
210,train,3.7779,0.0623,10.36,3.8363,8.36,1380,165.7
211,train,3.4465,0.1259,11.31,3.9853,10.48,1350,166.5
212,train,3.4016,0.1178,7.11,3.6272,7.82,1367,167.2
213,train,4.3466,0.1491,12.00,4.4481,10.98,1355,168.0
214,train,2.9932,0.1799,7.21,2.8307,6.91,1351,168.8
215,train,3.8549,0.0843,11.14,3.6543,10.04,1352,169.5
216,train,4.1376,0.0138,15.13,4.0988,18.92,1377,170.3
217,train,2.8112,0.2704,7.59,2.6670,6.06,1272,171.1
218,train,4.1222,0.0236,10.20,3.8780,11.02,1311,171.9
219,train,3.6734,0.0993,9.02,3.3200,9.62,1430,172.6
220,train,3.8445,0.1047,10.94,3.5161,13.48,1432,173.4
221,train,3.7482,0.0943,9.16,3.4053,9.04,1379,174.2
222,train,3.0559,0.1719,6.89,3.2639,6.53,1344,174.9
223,train,3.5956,0.1636,8.79,3.4390,8.52,1351,175.7
224,train,4.0135,0.0502,10.33,3.7848,11.55,1355,176.5
225,train,3.4374,0.1048,9.66,3.6048,10.32,1364,177.3
226,train,4.2334,0.0324,11.75,4.0863,10.77,1356,178.0
227,train,4.3956,0.0291,12.79,4.7826,18.98,1445,178.8
228,train,3.3165,0.1018,8.16,3.1090,7.96,1444,179.6
229,train,3.5355,0.1205,9.96,3.4368,12.46,1378,180.3
230,train,3.1373,0.0985,6.23,3.0897,5.94,1360,181.1
231,train,3.4016,0.0814,9.98,3.2666,13.42,1326,181.9
232,train,4.3919,0.0374,12.57,4.3898,10.87,1390,182.6
233,train,3.7114,0.2059,9.66,3.3279,7.48,1326,183.4
234,train,3.1303,0.1598,6.35,3.2358,7.58,1433,184.2
235,train,4.5973,0.0210,15.59,4.7191,17.55,1381,185.0
236,train,3.8320,0.1417,10.15,3.8614,8.29,1348,185.7
