step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
96,train,3.9954,0.0728,10.74,4.4493,13.02,701,52.8
97,train,4.1073,0.0182,10.98,4.3723,12.16,716,53.4
98,train,4.3042,0.1020,13.67,4.9537,15.58,716,53.9
99,train,4.1078,0.0909,10.81,4.4565,8.12,715,54.4
100,train,4.3724,0.0098,10.37,4.6362,14.86,715,54.9
101,train,3.8972,0.0641,10.60,4.2976,8.61,702,55.5
102,train,2.8526,0.2091,5.18,3.9542,6.24,770,56.0
103,train,4.8166,0.0227,13.53,5.1017,16.75,662,56.5
104,train,3.9396,0.1443,8.75,4.3889,11.68,714,57.0
105,train,5.7144,0.0056,17.31,4.8946,17.63,714,57.6
106,train,4.9022,0.0539,15.76,4.8539,15.30,742,58.1
107,train,4.1850,0.0559,16.74,4.7789,11.86,716,58.6
108,train,4.1941,0.0199,13.60,4.8999,15.72,702,59.2
109,train,3.5022,0.1293,6.90,3.9841,6.81,704,59.7
110,train,2.7467,0.1774,5.62,3.9054,6.16,744,60.2
111,train,3.8027,0.0966,11.34,4.7371,15.92,756,60.8
112,train,3.6505,0.1325,8.84,4.2448,10.12,770,61.3
113,train,3.5884,0.1357,8.57,4.4873,10.26,663,61.8
114,train,4.2998,0.0684,12.63,4.6408,13.63,673,62.3
115,train,3.0267,0.1781,6.78,4.5506,12.55,702,62.9
116,train,4.6581,0.0377,13.03,4.6506,11.93,716,63.4
117,train,4.0737,0.0673,14.45,4.7887,17.25,728,64.0
118,train,3.4582,0.1345,8.32,4.3830,7.24,714,64.5
119,train,4.7279,0.0266,13.25,4.6164,11.65,715,65.0
120,train,4.2640,0.0399,10.82,4.5091,10.31,702,65.6
121,train,4.4292,0.0357,12.27,4.5121,10.52,728,66.1
122,train,4.0643,0.0913,10.52,4.5810,10.58,756,66.6
123,train,4.0151,0.0587,12.58,4.2686,10.51,716,67.1
124,train,3.4227,0.1752,7.93,3.9519,6.41,742,67.7
125,train,3.4738,0.0904,7.69,4.6367,12.49,730,68.2
