step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec
94,train,3.4847,0.1421,7.51,3.2978,6.66,1443,79.4
95,train,4.0718,0.1186,9.25,3.9858,10.38,1391,80.2
96,train,3.2080,0.1680,10.14,3.1011,9.92,1357,81.0
97,train,3.4808,0.1760,10.16,3.7522,11.36,1392,81.8
98,train,4.1442,0.0644,12.75,4.4919,13.46,1366,82.6
99,train,3.0958,0.1276,6.00,2.5366,4.94,1403,83.4
100,train,3.2541,0.1688,7.73,3.8113,10.14,1392,84.2
101,train,3.3986,0.1104,9.36,3.2825,8.73,1377,85.0
102,train,3.8702,0.0634,11.46,3.6464,11.58,1404,85.8
103,train,2.9925,0.1954,7.82,3.0978,9.92,1428,86.6
104,train,3.2691,0.1234,6.88,3.1629,6.88,1442,87.4
105,train,3.5614,0.0912,8.49,3.3915,8.28,1370,88.2
106,train,3.0268,0.1934,7.10,3.0518,8.42,1365,89.0
107,train,3.7227,0.0846,11.08,3.2716,9.55,1312,89.8
108,train,2.3758,0.3326,4.13,2.0660,2.21,1431,90.6
109,train,3.4566,0.0906,6.44,3.0223,5.83,1379,91.4
110,train,3.5724,0.1161,10.73,3.5986,14.27,1327,92.2
111,train,3.3911,0.1487,9.99,3.2905,16.83,1224,93.0
112,train,3.0239,0.2130,7.74,3.0900,6.87,1352,93.8
113,train,2.8192,0.2259,6.18,2.6938,5.45,1443,94.6
114,train,4.2158,0.0447,13.51,3.7811,14.51,1341,95.4
115,train,2.8892,0.1611,5.88,2.6721,5.41,1459,96.2
116,train,3.0576,0.1152,7.90,3.1595,8.26,1415,97.0
117,train,4.7705,0.0334,15.96,4.5651,16.75,1378,97.8
118,train,3.1300,0.1745,6.44,2.6936,5.98,1404,98.6
119,train,3.8430,0.0424,10.39,3.3936,11.81,1391,99.3
120,train,3.2520,0.2027,7.23,3.2051,6.07,1431,100.1
121,train,3.3842,0.0905,8.46,3.0000,9.81,1392,100.9
122,train,3.8074,0.0849,9.21,3.4495,8.63,1378,101.7
123,train,3.6131,0.0884,8.34,3.3759,6.22,1279,102.5
