step,split,ce,top1,cell_err_m,pose_nll,pose_err_m,n,sec,vce_m,vce_pose_m
79,train,4.0462,0.1110,7.95,3.5739,9.86,1568,65.0,nan,nan
80,train,4.3417,0.0548,6.38,4.5138,5.39,1568,65.7,nan,nan
81,train,4.6747,0.0415,11.32,4.1177,10.02,1568,66.5,nan,nan
82,train,3.4428,0.1027,4.08,3.1018,2.72,1568,67.3,nan,nan
83,train,4.7717,0.0587,7.79,4.8537,7.60,1568,68.1,nan,nan
84,train,3.6099,0.1103,4.66,3.3877,4.17,1568,68.8,nan,nan
85,train,4.0920,0.0453,6.69,3.7576,7.99,1568,69.6,nan,nan
86,train,4.4200,0.0670,8.52,4.1841,8.42,1568,70.4,nan,nan
87,train,4.0019,0.0918,5.95,4.3315,4.26,1568,71.2,nan,nan
88,train,4.0836,0.0593,8.66,3.4424,6.11,1568,72.0,nan,nan
89,train,4.9477,0.0198,9.03,4.7885,8.25,1568,72.7,nan,nan
90,train,4.5794,0.0446,6.20,4.3982,5.96,1568,73.5,nan,nan
91,train,4.0805,0.1327,7.51,3.5106,4.59,1568,74.3,nan,nan
92,train,3.7668,0.1684,5.47,3.5904,4.46,1568,75.1,nan,nan
93,train,4.6702,0.0753,9.04,4.1906,7.82,1568,75.9,nan,nan
94,train,3.9245,0.1071,5.46,3.7833,5.46,1568,76.6,nan,nan
95,train,4.5029,0.0574,7.59,4.3216,5.87,1568,77.4,nan,nan
96,train,3.8269,0.1352,5.96,3.6571,8.93,1568,78.2,nan,nan
97,train,4.1659,0.0918,7.13,3.7647,6.48,1568,79.0,nan,nan
98,train,5.2933,0.0185,10.84,5.1737,9.96,1568,79.7,nan,nan
99,train,3.2166,0.2443,5.64,3.1038,4.92,1568,80.5,nan,nan
100,train,4.5889,0.1110,8.98,3.9836,8.76,1568,81.3,nan,nan
101,train,4.5803,0.0402,7.82,4.4519,7.86,1568,82.1,nan,nan
102,train,5.0687,0.0625,11.35,4.9419,10.29,1568,82.9,nan,nan
103,train,3.2213,0.1773,4.20,2.9666,4.22,1568,83.6,nan,nan
104,train,5.4221,0.0415,10.41,5.1749,11.93,1568,84.4,nan,nan
105,train,4.4410,0.1575,8.25,4.5548,7.66,1568,85.2,nan,nan
106,train,3.9323,0.1429,6.43,3.4029,6.04,1568,86.0,nan,nan
107,train,4.1258,0.2117,8.18,3.9564,9.45,1568,86.7,nan,nan
108,train,3.1253,0.1327,4.39,2.9794,4.74,1568,87.5,nan,nan
109,train,4.3491,0.0989,6.47,4.1663,7.97,1568,88.3,nan,nan
110,train,4.5595,0.1052,7.82,4.0752,7.38,1568,89.1,nan,nan
111,train,3.9969,0.1040,10.09,3.9343,8.58,1568,89.8,nan,nan
112,train,3.3408,0.1888,5.37,3.4705,4.90,1568,90.6,nan,nan
113,train,4.2054,0.0440,5.94,3.9409,4.54,1568,91.4,nan,nan
114,train,4.9691,0.0351,11.65,4.6532,9.21,1568,92.2,nan,nan
115,train,4.8918,0.0580,6.59,4.1597,6.31,1568,93.0,nan,nan
116,train,3.9074,0.0778,8.32,3.2706,7.37,1568,93.7,nan,nan
117,train,5.2292,0.0485,13.53,4.9674,14.61,1568,94.5,nan,nan
118,train,3.7777,0.1397,6.72,3.6668,7.72,1568,95.3,nan,nan
119,train,4.0889,0.0733,6.46,3.3723,5.18,1568,96.1,nan,nan
120,train,3.8723,0.2258,5.91,3.8520,5.95,1568,96.8,nan,nan
121,train,3.6671,0.1467,7.28,3.5613,9.63,1568,97.6,nan,nan
122,train,4.7244,0.0510,10.17,4.2460,7.78,1568,98.4,nan,nan
123,train,4.7979,0.0344,7.00,4.8936,8.13,1568,99.2,nan,nan
124,train,3.5120,0.1671,5.29,3.5449,5.71,1568,99.9,nan,nan
125,train,4.7414,0.0427,9.23,4.6081,8.30,1568,100.7,nan,nan
126,train,4.4024,0.0574,7.19,3.8898,6.48,1568,101.5,nan,nan
127,train,4.2764,0.0797,7.21,3.9042,9.46,1568,102.3,nan,nan
128,train,4.1772,0.1295,6.82,3.9755,6.59,1568,103.1,nan,nan
129,train,3.9696,0.1409,5.04,3.4631,3.52,1568,103.8,nan,nan
130,train,4.6654,0.0230,10.26,4.2586,10.95,1568,104.6,nan,nan
131,train,3.6068,0.1543,4.24,3.3823,3.40,1568,105.4,nan,nan
132,train,3.8911,0.1008,6.79,3.5236,6.47,1568,106.2,nan,nan
133,train,4.1191,0.0542,5.19,3.6181,4.64,1568,107.0,nan,nan
134,train,2.7974,0.2277,5.94,2.7280,6.61,1568,107.7,nan,nan
135,train,4.5890,0.0886,7.87,4.2942,7.53,1568,108.5,nan,nan
136,train,4.4716,0.1084,8.21,4.3961,7.35,1568,109.3,nan,nan
137,train,4.0455,0.1199,6.39,3.3428,5.98,1568,110.1,nan,nan
138,train,4.0433,0.0415,7.02,3.8134,5.52,1568,110.8,nan,nan
139,train,4.4772,0.0842,7.94,4.3362,7.04,1568,111.6,nan,nan
140,train,4.0709,0.0944,8.17,3.8579,7.09,1568,112.4,nan,nan
141,train,4.3776,0.0753,5.05,4.1911,3.90,1568,113.2,nan,nan
142,train,4.4186,0.1371,7.37,4.2432,6.10,1568,114.0,nan,nan
143,train,3.6257,0.1250,4.95,3.3783,2.81,1568,114.7,nan,nan
144,train,4.4471,0.0765,8.97,4.4438,10.43,1568,115.5,nan,nan
145,train,4.6348,0.0816,8.56,3.9099,8.25,1568,116.3,nan,nan
146,train,3.9468,0.1301,8.32,3.8184,8.31,1568,117.1,nan,nan
147,train,3.5919,0.1237,6.30,3.2784,5.46,1568,117.8,nan,nan
148,train,4.0106,0.0810,6.07,4.0987,5.79,1568,118.6,nan,nan
149,train,4.7425,0.0931,9.63,4.4024,10.10,1568,119.4,nan,nan
150,train,4.2196,0.0963,8.42,4.3832,9.03,1568,120.2,nan,nan
151,train,4.7401,0.0580,8.59,4.3862,8.32,1568,121.0,nan,nan
152,train,3.3359,0.1307,4.90,3.4085,3.10,1568,121.7,nan,nan
153,train,5.0704,0.0364,9.11,4.4531,7.57,1568,122.5,nan,nan
154,train,5.1121,0.0408,9.31,5.0945,5.57,1568,123.3,nan,nan
155,train,2.8170,0.2423,2.93,2.8844,2.87,1568,124.1,nan,nan
156,train,4.7662,0.0466,9.60,4.8830,10.86,1568,124.8,nan,nan
157,train,3.8422,0.1390,6.82,3.7147,8.48,1568,125.6,nan,nan
158,train,3.7984,0.1709,6.38,3.8307,7.98,1568,126.4,nan,nan
159,train,4.3551,0.0867,6.90,3.9846,6.96,1568,127.2,nan,nan
160,train,5.6725,0.0096,10.13,5.3612,9.61,1568,128.0,nan,nan
161,train,4.0822,0.0344,5.99,3.9730,8.23,1568,128.7,nan,nan
162,train,3.0577,0.1620,3.47,2.9963,3.41,1568,129.5,nan,nan
163,train,4.7310,0.0300,8.10,4.3658,8.91,1568,130.3,nan,nan
164,train,4.0582,0.0631,9.62,3.6713,12.57,1568,131.1,nan,nan
165,train,4.3179,0.0504,8.42,3.8823,7.22,1568,131.8,nan,nan
166,train,3.9911,0.1422,6.42,3.9940,8.07,1568,132.6,nan,nan
167,train,4.2118,0.0542,8.09,4.3071,9.96,1568,133.4,nan,nan
168,train,4.6673,0.1116,10.43,4.7697,10.71,1568,134.2,nan,nan
169,train,5.1348,0.0702,13.42,4.6094,13.62,1568,135.0,nan,nan
170,train,4.4113,0.0440,7.62,4.0882,6.27,1568,135.7,nan,nan
171,train,4.7006,0.0319,11.51,4.1510,11.61,1568,136.5,nan,nan
172,train,3.4955,0.0874,4.56,3.4536,4.70,1568,137.3,nan,nan
173,train,4.2908,0.1231,6.82,4.3994,5.63,1568,138.1,nan,nan
174,train,4.5194,0.0950,10.88,4.0124,9.85,1568,138.9,nan,nan
175,train,5.0776,0.0319,8.30,4.9144,10.71,1568,139.6,nan,nan
176,train,4.2764,0.0804,8.96,4.1875,10.47,1568,140.4,nan,nan
177,train,4.9450,0.0408,9.64,4.4005,8.74,1568,141.2,nan,nan
178,train,3.0507,0.1907,3.61,2.9722,2.85,1568,142.0,nan,nan
179,train,4.3677,0.0925,6.20,4.1516,5.45,1568,142.7,nan,nan
180,train,5.3593,0.0325,7.04,4.5053,6.73,1568,143.5,nan,nan
181,train,4.4776,0.0497,9.29,3.8947,7.45,1568,144.3,nan,nan
182,train,3.8249,0.1008,6.47,3.7040,4.34,1568,145.1,nan,nan
183,train,3.5917,0.0855,5.17,3.1708,4.24,1568,145.9,nan,nan
184,train,3.5257,0.0580,4.02,3.1592,2.47,1568,146.6,nan,nan
185,train,4.1629,0.0867,7.33,3.8601,8.66,1568,147.4,nan,nan
186,train,3.6174,0.0529,4.98,3.2739,2.96,1568,148.2,nan,nan
187,train,4.9109,0.0204,6.77,4.3560,4.82,1568,149.0,nan,nan
188,train,3.7312,0.1977,6.95,3.6455,7.47,1568,149.7,nan,nan
189,train,4.2544,0.0759,8.75,4.1918,6.68,1568,150.5,nan,nan
190,train,4.0265,0.1958,4.91,3.7478,4.50,1568,151.3,nan,nan
191,train,4.1777,0.1741,5.98,3.7894,5.65,1568,152.1,nan,nan
192,train,4.2292,0.0612,6.62,3.8524,5.64,1568,152.9,nan,nan
193,train,4.1563,0.2219,9.59,3.9153,9.55,1568,153.6,nan,nan
194,train,4.0617,0.0963,6.02,4.1978,6.10,1568,154.4,nan,nan
195,train,4.3342,0.1040,8.32,3.6524,7.16,1568,155.2,nan,nan
