step,split,ce,cert,top1,top5,cell_err_m,pose_nll,pose_err_m,n,sec
4675,train,4.8215,3.4153,0.0052,0.0622,25.67,3.5328,12.65,193,2.8
4676,train,4.5820,3.5019,0.0000,0.0258,40.27,4.4139,42.43,194,3.4
4677,train,nan,0.1893,nan,nan,nan,0.0000,nan,0,1.3
4678,train,3.9841,2.8063,0.0206,0.1340,15.03,4.0005,24.00,194,1.2
4679,train,5.1753,3.3391,0.0000,0.0000,22.48,5.4523,43.27,192,2.4
4680,train,4.4134,3.9036,0.0103,0.0567,14.55,4.0398,24.00,194,2.0
4681,train,3.7249,3.6900,0.0155,0.1340,13.17,4.7102,16.49,194,3.6
4682,train,3.9294,3.5369,0.0258,0.2113,12.31,3.9798,4.00,194,2.8
4683,train,nan,0.2248,nan,nan,nan,0.0000,nan,0,3.4
4684,train,4.2202,3.0964,0.0000,0.0052,23.20,4.3618,16.00,194,3.4
4685,train,3.4829,2.1295,0.0567,0.3608,13.26,3.4978,6.00,194,5.4
4686,train,4.1662,2.8771,0.0000,0.0000,20.80,3.6589,12.65,194,1.5
4687,train,3.8916,3.3355,0.0309,0.1856,12.27,3.9124,5.66,194,3.4
4688,train,4.7352,3.8155,0.0103,0.0258,17.53,4.6209,24.19,194,1.3
4689,train,4.9983,3.1256,0.0155,0.0984,21.01,4.6001,20.00,193,1.5
4690,train,3.5032,2.6711,0.0725,0.3264,11.03,3.1644,4.00,193,1.7
4691,train,4.7873,3.6958,0.0103,0.0515,15.05,3.6304,9.00,194,1.7
4692,train,4.1252,3.2735,0.0103,0.1289,10.41,3.8712,8.94,194,2.6
4693,train,4.6386,3.8052,0.0155,0.0979,10.42,4.0617,13.42,194,1.4
4694,train,3.6734,3.3211,0.0876,0.3041,10.96,2.7654,0.00,194,1.5
4695,train,4.2950,3.2481,0.0103,0.0722,15.81,4.1770,13.42,194,5.2
4696,train,4.7140,3.5149,0.0000,0.0000,26.31,4.2780,24.00,194,1.4
4697,train,3.6643,3.4911,0.0000,0.0515,36.81,3.5089,20.00,194,1.9
4698,train,5.1237,3.7599,0.0000,0.0052,38.06,4.7605,60.21,194,2.5
4699,train,3.7333,3.0392,0.0052,0.1134,19.96,3.6171,16.00,194,2.2
4700,train,nan,0.2238,nan,nan,nan,0.0000,nan,0,4.5
4701,train,4.8728,4.4076,0.0000,0.0000,49.48,4.5685,30.41,193,4.2
4702,train,nan,0.2101,nan,nan,nan,0.0000,nan,0,6.6
4703,train,3.7305,4.5386,0.0722,0.3918,9.99,3.3873,10.00,194,4.1
4704,train,4.2436,4.3464,0.0052,0.0155,14.61,4.0766,15.30,194,2.5
4705,train,6.0655,3.9376,0.0000,0.0000,35.67,6.0728,38.42,193,5.0
4706,train,3.8173,3.8632,0.0000,0.0104,34.16,3.7077,20.00,193,4.0
4707,train,nan,0.2457,nan,nan,nan,0.0000,nan,0,4.2
4708,train,3.7069,3.3750,0.0829,0.3575,9.21,2.6831,0.00,193,5.4
4709,train,5.9615,3.1144,0.0000,0.0000,38.22,6.0830,32.31,192,3.8
4710,train,3.8705,3.3654,0.0312,0.1823,23.02,3.9215,16.97,192,5.6
4711,train,3.7233,3.7215,0.0155,0.1237,17.77,4.0066,15.81,194,2.1
4712,train,3.3870,3.5847,0.0567,0.2526,18.28,3.1507,30.00,194,4.7
4713,train,5.1442,3.8477,0.0258,0.0979,11.79,3.7060,6.71,194,0.9
4714,train,3.8674,3.2251,0.0155,0.0515,38.88,3.5247,13.42,194,3.0
4715,train,3.6655,3.6363,0.0515,0.2732,13.32,3.8655,24.74,194,6.5
4716,train,4.6701,3.5560,0.0206,0.1495,9.27,3.5532,6.00,194,1.6
4717,train,3.8931,3.9439,0.0825,0.3505,10.86,3.7723,20.40,194,2.0
4718,train,3.6926,3.7084,0.0309,0.2113,12.17,3.3162,4.00,194,2.9
4719,train,3.1586,2.6223,0.1443,0.5567,9.89,3.0863,7.07,194,2.8
4720,train,nan,0.0789,nan,nan,nan,0.0000,nan,0,1.6
4721,train,3.9015,4.1120,0.0104,0.1658,11.47,3.9362,8.94,193,1.9
4722,train,3.8671,4.1837,0.0258,0.2268,16.84,3.0818,13.42,194,5.7
4723,train,nan,0.1334,nan,nan,nan,0.0000,nan,0,1.5
4724,train,3.6346,4.2272,0.1701,0.4588,15.16,3.4299,8.49,194,2.6
4725,train,nan,0.1249,nan,nan,nan,0.0000,nan,0,2.0
4726,train,5.2301,3.6920,0.0000,0.0000,17.84,6.2659,15.00,192,3.9
4727,train,3.6931,3.9316,0.0466,0.2487,9.71,3.3543,8.00,193,1.1
4728,train,4.3753,4.6306,0.0000,0.0000,38.40,3.9057,36.88,194,3.9
4729,train,4.1292,3.8219,0.0000,0.0619,24.25,3.4209,13.42,194,6.6
4730,train,3.5354,4.5624,0.0309,0.2680,12.24,2.8025,6.00,194,5.2
4731,train,3.0813,4.4187,0.1495,0.5928,9.98,3.1070,10.00,194,4.3
4732,train,nan,0.2540,nan,nan,nan,0.0000,nan,0,4.4
4733,train,4.3635,3.6334,0.0000,0.0361,21.40,4.6575,17.89,194,1.6
4734,train,5.4406,4.9192,0.0000,0.0156,38.00,5.8854,20.00,192,2.0
4735,train,4.3624,5.1598,0.0103,0.0928,27.94,4.5576,30.59,194,6.4
4736,train,4.1384,3.9419,0.0000,0.0000,56.12,3.5440,60.00,193,3.7
4737,train,4.3132,3.9755,0.0206,0.0928,16.90,4.4691,12.65,194,2.8
4738,train,3.5473,3.5292,0.0570,0.2850,11.53,3.1087,16.00,193,1.1
4739,train,3.2092,3.7787,0.1237,0.3247,19.05,3.0383,15.00,194,3.2
4740,train,3.7337,3.3380,0.0412,0.1495,25.03,3.4997,18.97,194,5.8
4741,train,4.0418,4.0204,0.0052,0.0570,18.27,3.7803,11.18,193,3.0
4742,train,3.2611,3.5471,0.0928,0.4072,12.40,2.9711,15.00,194,3.0
4743,train,4.3228,4.4803,0.0155,0.0979,11.72,4.2442,5.66,194,2.4
4744,train,3.2292,4.2330,0.0984,0.5130,13.16,2.7144,0.00,193,4.3
4745,train,4.1785,3.1817,0.0000,0.0000,56.80,4.0689,48.37,194,5.8
4746,train,3.9502,3.4947,0.0000,0.0000,47.16,3.7899,50.99,194,4.3
4747,train,4.1263,3.6650,0.0361,0.1649,16.28,3.2994,15.81,194,3.3
4748,train,3.6241,3.1207,0.0361,0.2216,19.75,4.3006,24.74,194,6.4
4749,train,3.8359,4.4448,0.0722,0.3247,11.72,3.1702,4.00,194,1.6
4750,train,4.2891,3.8307,0.0206,0.0928,17.24,3.3839,25.50,194,4.0
4751,train,3.7884,3.8361,0.0105,0.1518,10.94,3.8583,11.18,191,2.3
4752,train,3.7792,3.4565,0.0103,0.0464,37.01,3.3844,36.50,194,5.6
4753,train,4.4170,3.5138,0.0103,0.1082,19.84,4.1123,14.42,194,3.3
4754,train,nan,0.2463,nan,nan,nan,0.0000,nan,0,4.4
4755,train,4.7760,4.6277,0.0154,0.0564,14.24,3.7491,12.00,195,2.1
4756,train,4.2805,3.8937,0.0103,0.0722,17.11,4.2980,17.89,194,2.1
4757,train,3.5668,3.9717,0.1186,0.3144,11.94,2.7562,0.00,194,5.6
4758,train,3.7886,3.1395,0.0464,0.1546,12.17,3.0703,4.00,194,2.4
4759,train,3.5430,3.8513,0.0515,0.3608,16.38,3.1148,8.49,194,4.6
4760,train,4.1739,4.0931,0.0412,0.1546,37.49,3.9953,43.68,194,6.8
4761,train,5.5135,4.2038,0.0000,0.0000,31.33,3.6848,34.99,192,1.9
4762,train,3.8317,3.4418,0.0103,0.1186,16.77,4.1206,17.89,194,2.7
4763,train,3.6385,3.8487,0.0311,0.2073,12.17,3.2640,12.00,193,2.3
4764,train,5.2515,4.1275,0.0155,0.0722,12.23,4.5236,12.37,194,0.9
4765,train,5.0345,4.3208,0.0206,0.0670,14.38,4.5614,6.71,194,1.9
4766,train,3.3340,3.5688,0.0938,0.2604,17.99,3.0724,15.81,192,2.8
4767,train,3.8129,3.4780,0.0515,0.1701,13.51,3.3305,20.00,194,1.8
4768,train,3.3260,3.6996,0.1031,0.3144,15.46,2.9419,10.00,194,2.3
4769,train,3.9492,4.5978,0.0207,0.0829,20.14,3.9144,12.65,193,2.4
4770,train,3.9270,4.3434,0.0518,0.2591,15.39,2.9244,0.00,193,4.7
4771,train,4.5189,4.2050,0.0312,0.0625,19.43,3.1828,20.40,192,2.2
4772,train,4.8057,3.7097,0.0000,0.0103,40.41,4.2404,44.00,194,2.3
4773,train,3.0686,2.9719,0.0674,0.3264,17.97,2.8760,12.00,193,4.4
4774,train,nan,0.2382,nan,nan,nan,0.0000,nan,0,2.5
4775,train,3.6021,4.0608,0.0160,0.2128,10.96,3.6990,20.40,188,2.4
4776,train,3.2356,3.7170,0.1186,0.4278,10.29,3.9664,6.00,194,3.4
4777,train,3.6945,3.8147,0.1186,0.2990,11.36,2.5629,6.00,194,5.4
4778,train,3.7545,4.1007,0.0052,0.1762,26.89,3.4138,8.49,193,2.1
4779,train,3.8155,4.3320,0.0412,0.2010,10.11,3.3117,5.66,194,2.3
4780,train,4.4649,4.0510,0.0000,0.0000,48.71,4.4866,31.62,194,1.9
4781,train,3.5756,3.9079,0.1354,0.3073,10.38,3.0117,6.00,192,2.9
4782,train,4.2524,3.8735,0.0000,0.0000,34.10,3.5445,30.59,193,3.4
4783,train,3.5612,4.3296,0.0825,0.3402,8.41,3.2531,5.00,194,2.0
4784,train,3.3760,4.4371,0.0412,0.2320,20.83,3.1415,30.41,194,4.0
4785,train,3.1344,2.9576,0.1186,0.4124,15.61,2.9902,12.00,194,3.1
