step,split,ce,cert,top1,top5,cell_err_m,pose_nll,pose_err_m,n,sec
4921,train,nan,0.2291,nan,nan,nan,0.0000,nan,0,2.6
4922,train,4.2416,3.3303,0.0208,0.1510,17.44,4.0966,12.00,192,2.0
4923,train,5.0548,3.7900,0.0000,0.0000,41.10,4.5239,60.13,193,3.0
4924,train,3.7976,4.1174,0.0777,0.3679,15.57,3.4473,13.42,193,2.7
4925,train,4.4891,2.8877,0.0000,0.0104,24.19,5.1869,22.36,193,3.0
4926,train,5.9417,3.4787,0.0000,0.0000,62.32,5.2829,61.19,194,6.9
4927,train,3.6050,3.8964,0.0258,0.0876,33.90,3.5813,30.00,194,1.9
4928,train,3.7730,3.6304,0.0103,0.0309,29.73,4.3646,30.00,194,4.5
4929,train,4.2655,3.5144,0.0000,0.0570,14.78,3.3575,12.00,193,3.1
4930,train,3.8370,3.8943,0.0206,0.1134,32.81,3.8504,30.00,194,5.6
4931,train,nan,0.1945,nan,nan,nan,0.0000,nan,0,2.5
4932,train,4.5090,3.9804,0.0207,0.0622,13.55,4.1749,24.74,193,1.2
4933,train,3.8167,3.4574,0.0619,0.2113,11.28,2.4601,0.00,194,3.1
4934,train,3.9916,4.7489,0.0309,0.1237,16.44,3.2965,12.00,194,3.1
4935,train,4.8287,4.1241,0.0155,0.0928,12.09,3.1819,6.71,194,2.5
4936,train,3.9890,3.8323,0.0000,0.0412,36.49,4.0201,30.00,194,5.2
4937,train,nan,0.0861,nan,nan,nan,0.0000,nan,0,5.6
4938,train,4.8081,5.1688,0.0258,0.0928,13.39,2.9546,18.00,194,1.7
4939,train,5.0437,5.4062,0.0104,0.0570,15.46,4.4435,6.00,193,1.2
4940,train,4.5970,4.9451,0.0000,0.0103,36.03,4.9622,42.43,194,6.3
4941,train,4.2312,4.6890,0.0258,0.1031,19.18,3.6313,18.97,194,2.5
4942,train,nan,0.1877,nan,nan,nan,0.0000,nan,0,3.5
4943,train,nan,0.0648,nan,nan,nan,0.0000,nan,0,1.2
4944,train,4.3253,4.1112,0.0000,0.0206,26.82,4.0040,36.00,194,2.1
4945,train,3.8592,4.9584,0.0625,0.2656,13.70,5.1067,8.00,192,2.4
4946,train,nan,0.2085,nan,nan,nan,0.0000,nan,0,4.6
4947,train,3.3564,4.4206,0.1649,0.5052,7.67,3.1645,12.00,194,2.1
4948,train,3.8128,5.1032,0.0206,0.0464,51.85,3.3857,54.00,194,5.0
4949,train,3.7097,4.9691,0.0361,0.1701,12.41,4.4840,20.40,194,2.7
4950,train,3.2646,4.3262,0.0363,0.2746,20.76,2.2720,0.00,193,3.4
4951,train,4.0351,5.9838,0.0104,0.0829,15.69,3.9159,12.00,193,2.8
4952,train,3.2552,4.1866,0.0722,0.2680,17.26,2.4950,0.00,194,3.6
4953,train,3.7688,4.8817,0.0103,0.1392,17.65,3.7963,11.18,194,4.2
4954,train,4.2446,4.4338,0.0000,0.0052,26.60,4.1012,30.59,193,4.7
4955,train,4.3502,4.5813,0.0000,0.0052,29.81,4.5632,30.59,194,3.4
4956,train,nan,0.1392,nan,nan,nan,0.0000,nan,0,3.5
4957,train,4.2509,4.5537,0.0156,0.1042,11.26,3.8267,12.00,192,1.2
4958,train,3.6449,4.3525,0.1031,0.3557,18.14,3.2449,6.00,194,5.5
4959,train,4.1203,5.0156,0.0207,0.1088,14.15,3.0599,12.37,193,2.0
4960,train,3.8359,4.6096,0.0155,0.1813,14.66,3.5914,20.00,193,2.5
4961,train,4.8506,5.0492,0.0208,0.0990,16.73,4.3307,8.49,192,4.1
4962,train,3.7007,3.5696,0.0155,0.0928,20.80,3.4569,25.00,194,2.5
4963,train,3.8488,5.2989,0.0052,0.0619,23.34,3.2263,10.00,194,4.3
4964,train,4.4247,5.0421,0.0104,0.0725,12.35,4.2857,6.71,193,1.9
4965,train,3.5912,4.9023,0.0260,0.1094,15.39,4.4334,8.94,192,3.3
4966,train,4.0181,4.3429,0.0415,0.1658,15.95,2.9082,18.97,193,4.0
4967,train,nan,0.1327,nan,nan,nan,0.0000,nan,0,3.2
4968,train,3.7605,4.3583,0.0309,0.2062,14.42,3.3331,10.00,194,2.1
4969,train,nan,0.1009,nan,nan,nan,0.0000,nan,0,2.8
4970,train,4.4667,4.6305,0.0155,0.1082,12.54,4.5458,6.71,194,1.6
4971,train,4.7272,4.3727,0.0000,0.0464,17.42,4.3849,8.49,194,6.0
4972,train,3.6080,4.5307,0.0567,0.3041,9.02,2.8997,4.00,194,2.8
4973,train,4.1956,4.3083,0.0000,0.0000,25.24,4.0484,25.00,194,2.8
4974,train,3.5390,3.6354,0.0412,0.2577,15.37,2.4687,12.00,194,4.9
4975,train,3.7054,4.4112,0.0206,0.0979,17.80,4.1490,15.81,194,4.1
4976,train,3.8906,4.6732,0.0359,0.2667,19.39,3.1945,6.00,195,4.7
4977,train,3.7028,3.6086,0.0103,0.1031,14.43,3.0034,25.50,194,4.2
4978,train,4.2749,4.3703,0.0000,0.0207,38.93,4.1035,43.68,193,5.0
4979,train,3.8407,4.4960,0.0258,0.0773,23.22,3.1475,40.00,194,3.4
4980,train,3.7630,3.7605,0.0464,0.2423,19.47,3.1351,18.00,194,3.3
4981,train,4.3245,3.4424,0.0104,0.0725,24.44,4.1997,16.49,193,3.7
4982,train,3.9647,3.9440,0.0103,0.0928,18.03,4.2412,21.63,194,5.0
4983,train,4.6967,4.3248,0.0000,0.0155,24.73,3.6500,12.65,193,2.9
4984,train,6.6583,3.5572,0.0000,0.0000,33.60,4.8522,21.84,193,2.4
4985,train,4.6935,4.2315,0.0155,0.0412,22.03,3.0329,3.00,194,2.3
4986,train,4.7564,4.0784,0.0103,0.0722,16.78,4.5953,13.42,194,1.6
4987,train,3.4285,3.5201,0.0311,0.2487,10.91,3.1632,8.00,193,1.9
4988,train,3.4633,3.7893,0.0984,0.4819,8.69,3.2914,8.00,193,1.5
4989,train,5.3362,3.2167,0.0000,0.0000,20.72,4.6863,17.89,194,3.7
4990,train,3.6171,3.3040,0.0570,0.2642,12.78,3.0806,5.00,193,3.5
4991,train,3.5623,4.0701,0.0361,0.2577,10.71,3.1809,8.00,194,2.1
4992,train,4.5231,3.2934,0.0000,0.0415,15.92,4.4795,10.00,193,4.3
4993,train,4.9945,4.5747,0.0052,0.0155,27.93,3.9197,6.71,193,2.2
4994,train,4.7509,4.5657,0.0000,0.0000,55.88,4.6582,60.30,194,4.4
4995,train,4.7713,4.2454,0.0000,0.0000,25.28,4.9643,18.97,194,2.1
4996,train,4.0317,2.9271,0.0052,0.0619,17.04,3.1116,13.42,194,5.6
4997,train,4.3807,4.1373,0.0052,0.0722,13.69,4.2707,8.00,194,3.1
4998,train,3.5278,3.7414,0.0670,0.2835,11.95,3.5788,5.00,194,4.9
4999,train,4.8094,4.1397,0.0000,0.0155,26.13,3.5786,4.24,193,0.9
5000,train,3.9446,2.8354,0.0259,0.1295,14.31,3.5173,12.65,193,2.8
5000,val,4.2665,,0.0214,0.1110,17.89,4.1452,15.74,6973,74.6
5001,train,4.5112,3.6315,0.0155,0.0567,11.97,3.7534,6.71,194,1.6
5002,train,5.5954,3.9864,0.0000,0.0000,45.31,5.8778,47.17,194,2.6
5003,train,nan,0.3909,nan,nan,nan,0.0000,nan,0,2.8
5004,train,4.6097,4.0990,0.0466,0.1347,10.84,4.4271,9.49,193,2.5
5005,train,3.8076,3.3520,0.0984,0.3264,16.97,3.7099,13.42,193,4.9
5006,train,4.7908,3.8270,0.0000,0.0000,22.97,3.3122,27.00,194,1.4
5007,train,5.1055,3.6452,0.0000,0.0000,34.15,5.1024,30.00,193,2.1
5008,train,3.8480,4.1207,0.0104,0.1615,22.81,3.8452,20.62,192,4.3
5009,train,3.3118,2.6848,0.0881,0.3161,17.15,3.5360,20.62,193,3.7
5010,train,4.7469,3.3944,0.0000,0.0052,32.53,4.4581,36.88,193,1.1
5011,train,4.8290,4.0640,0.0000,0.0309,25.94,4.9174,27.17,194,2.1
5012,train,4.1295,3.8699,0.0000,0.0155,23.44,4.0276,28.28,194,2.8
5013,train,nan,0.3627,nan,nan,nan,0.0000,nan,0,1.6
5014,train,3.6766,4.1759,0.0259,0.1554,17.08,3.0810,5.66,193,2.1
5015,train,4.4503,4.1858,0.0103,0.0773,11.06,4.4052,6.00,194,2.3
5016,train,4.0423,4.4895,0.0052,0.0515,23.47,4.3206,24.00,194,2.4
5017,train,3.6431,4.5775,0.0619,0.2526,12.93,3.1620,4.00,194,4.0
5018,train,nan,0.5154,nan,nan,nan,0.0000,nan,0,5.9
5019,train,4.5167,3.6666,0.0000,0.0000,41.30,3.9426,40.20,194,2.7
5020,train,4.8515,4.7076,0.0000,0.0000,22.48,4.3767,21.21,194,1.9
5021,train,4.8780,3.5501,0.0000,0.0309,24.44,5.2774,24.74,194,3.1
5022,train,3.6491,2.8415,0.0567,0.2423,14.65,2.8977,6.00,194,6.2
5023,train,3.5950,3.6078,0.0518,0.2539,13.73,2.7578,6.00,193,4.5
5024,train,5.7764,5.0648,0.0000,0.0000,44.83,6.9358,55.32,193,6.2
5025,train,4.6629,4.6407,0.0156,0.0885,57.43,4.4231,127.28,192,5.7
5026,train,3.7979,3.7798,0.0206,0.1856,16.57,4.6461,21.54,194,1.5
5027,train,4.4084,4.3430,0.0103,0.0464,29.62,4.2713,20.62,194,1.9
5028,train,4.5445,4.1588,0.0000,0.0000,61.69,4.3519,71.06,157,3.3
5029,train,nan,0.1989,nan,nan,nan,0.0000,nan,0,1.2
5030,train,3.6095,4.5274,0.0363,0.1503,36.31,3.6832,36.50,193,5.4
5031,train,4.1555,3.8341,0.0052,0.0725,13.08,3.3308,5.00,193,4.2
5032,train,4.0715,4.1971,0.0104,0.0933,46.46,3.9286,62.64,193,2.5
5033,train,3.6332,3.6875,0.0309,0.1649,16.51,4.2856,16.49,194,2.5
5034,train,4.0185,3.7465,0.0515,0.2165,16.15,2.8307,12.00,194,5.4
5035,train,nan,0.1502,nan,nan,nan,0.0000,nan,0,4.8
5036,train,3.7108,3.8156,0.0464,0.1753,20.11,2.8325,0.00,194,3.1
5037,train,5.1428,4.0648,0.0052,0.0155,16.55,5.4962,11.31,194,1.5
5038,train,5.2524,3.6410,0.0000,0.0000,57.63,5.4000,43.68,194,6.1
5039,train,4.0837,4.3000,0.0103,0.0464,22.69,4.1673,24.33,194,2.5
5040,train,3.6452,3.8624,0.0258,0.2526,14.04,3.7084,24.00,194,1.7
5041,train,3.7446,3.2695,0.0103,0.0309,59.72,3.3266,65.00,194,3.8
5042,train,3.9439,3.0175,0.0052,0.0258,33.30,4.0361,30.00,194,3.1
5043,train,3.6430,2.9245,0.0466,0.2383,14.04,3.3149,15.00,193,2.1
5044,train,nan,0.4634,nan,nan,nan,0.0000,nan,0,4.0
5045,train,4.7892,4.2856,0.0052,0.0104,26.88,5.0137,18.00,193,1.5
5046,train,nan,0.4516,nan,nan,nan,0.0000,nan,0,4.3
5047,train,4.5846,2.9869,0.0366,0.1099,12.61,4.1611,9.49,191,1.9
5048,train,3.6221,3.1956,0.0156,0.1042,28.76,4.0651,37.95,192,4.4
5049,train,3.7947,3.9807,0.0000,0.1134,17.76,3.1315,18.00,194,3.1
5050,train,3.6546,2.7517,0.0417,0.2240,20.43,3.6126,13.42,192,2.7
5051,train,3.9072,2.5577,0.0000,0.0000,47.85,3.8567,25.00,194,2.6
5052,train,4.2030,4.1423,0.0206,0.0722,18.19,3.0537,4.00,194,1.9
5053,train,3.3245,3.2120,0.1031,0.4381,11.43,3.0297,7.07,194,2.0
5054,train,nan,0.4087,nan,nan,nan,0.0000,nan,0,3.8
5055,train,3.4382,4.1112,0.0207,0.2176,20.97,3.4686,18.97,193,6.4
5056,train,3.4437,3.9047,0.0567,0.2990,15.22,3.0284,5.00,194,4.1
5057,train,3.4558,3.4674,0.0515,0.3608,12.62,3.0347,10.00,194,3.1
5058,train,3.5416,3.9305,0.0155,0.0979,30.93,3.0564,48.00,194,4.0
5059,train,nan,0.2219,nan,nan,nan,0.0000,nan,0,3.0
5060,train,4.5025,4.2140,0.0103,0.0258,23.13,4.6793,14.14,194,4.3
5061,train,5.2849,3.6557,0.0000,0.0363,13.97,4.3536,8.49,193,1.2
5062,train,4.2847,3.0725,0.0259,0.1244,11.30,2.9459,4.00,193,3.3
5063,train,nan,0.4030,nan,nan,nan,0.0000,nan,0,2.5
5064,train,5.4948,3.6898,0.0000,0.0155,20.32,3.3850,9.49,194,2.1
5065,train,nan,0.5293,nan,nan,nan,0.0000,nan,0,5.7
5066,train,4.3581,4.7228,0.0052,0.0412,42.67,3.3653,32.25,194,2.2
5067,train,5.1439,3.7734,0.0155,0.0567,16.08,3.6365,15.00,194,2.3
5068,train,nan,0.2231,nan,nan,nan,0.0000,nan,0,4.0
5069,train,3.8115,4.5594,0.0206,0.1804,17.80,3.5835,10.00,194,3.4
5070,train,3.1309,3.7441,0.0622,0.4145,18.34,4.0780,24.74,193,5.7
5071,train,4.1717,4.1627,0.0000,0.0103,39.28,3.9984,49.48,194,4.9
5072,train,3.9448,3.9304,0.0052,0.0464,14.43,3.0506,8.94,194,2.7
5073,train,3.7516,4.2029,0.0155,0.1088,22.02,3.2225,25.00,193,3.8
5074,train,3.4366,3.5281,0.0881,0.3731,16.03,3.0560,18.00,193,5.0
5075,train,5.0437,5.0818,0.0000,0.0000,14.59,5.4841,8.94,193,2.4
5076,train,3.6700,4.1320,0.0207,0.1865,16.15,3.4962,7.07,193,4.4
5077,train,3.5737,4.4703,0.0518,0.1762,17.22,2.6944,11.18,193,3.6
5078,train,3.6574,3.8361,0.0052,0.0984,26.33,3.2421,36.50,193,2.5
5079,train,4.8887,4.6669,0.0155,0.0928,11.84,5.1555,6.71,194,2.4
5080,train,nan,0.2042,nan,nan,nan,0.0000,nan,0,2.0
5081,train,3.6963,3.3891,0.0052,0.0417,31.74,3.0870,8.00,192,1.9
5082,train,nan,0.1990,nan,nan,nan,0.0000,nan,0,1.1
5083,train,nan,0.1713,nan,nan,nan,0.0000,nan,0,0.9
5084,train,4.4433,5.5598,0.0155,0.0464,19.17,4.9289,10.82,194,2.0
5085,train,3.7429,3.7568,0.0000,0.0464,25.17,3.9885,24.33,194,3.3
5086,train,3.3280,4.3621,0.0670,0.3041,17.00,2.9241,20.00,194,2.4
5087,train,4.2455,4.3531,0.0104,0.0207,23.52,4.1425,25.50,193,3.2
5088,train,4.1158,4.2356,0.0567,0.2216,8.97,3.1389,6.00,194,2.5
5089,train,3.6175,4.3250,0.0363,0.2176,13.95,3.2281,12.00,193,1.1
5090,train,nan,0.2213,nan,nan,nan,0.0000,nan,0,2.1
5091,train,3.6836,4.2725,0.0259,0.1399,19.17,2.9225,12.00,193,6.5
5092,train,nan,0.1660,nan,nan,nan,0.0000,nan,0,2.7
5093,train,3.9517,4.2769,0.0207,0.1451,16.13,3.6656,20.40,193,1.5
5094,train,nan,0.3073,nan,nan,nan,0.0000,nan,0,3.0
5095,train,3.8732,4.6397,0.0000,0.0670,20.01,4.2061,24.74,194,2.5
5096,train,6.5308,5.2046,0.0000,0.0000,55.21,7.4901,43.27,192,4.7
5097,train,4.0267,3.8062,0.0052,0.0155,19.72,3.6142,25.50,194,3.6
5098,train,2.9452,3.8643,0.2320,0.5876,9.62,3.3216,13.42,194,4.0
5099,train,nan,0.2642,nan,nan,nan,0.0000,nan,0,5.1
5100,train,4.1483,3.9340,0.0312,0.1615,10.84,4.2820,4.00,192,2.7
5101,train,nan,0.1416,nan,nan,nan,0.0000,nan,0,2.3
5102,train,4.5193,4.3792,0.0103,0.0309,34.33,4.5135,36.40,194,2.2
5103,train,4.9058,4.6191,0.0103,0.0309,32.18,5.4241,44.72,194,4.2
5104,train,3.6659,2.6583,0.0258,0.1340,20.46,3.2552,24.00,194,2.8
5105,train,3.3999,3.5660,0.0625,0.2917,20.91,3.5173,12.00,192,3.5
5106,train,3.7946,4.0956,0.0781,0.2917,15.14,3.0576,0.00,192,1.5
5107,train,4.7259,4.0810,0.0052,0.0469,28.92,4.1790,38.08,192,2.0
5108,train,3.8587,4.3405,0.0157,0.1361,16.34,3.5317,25.00,191,4.1
5109,train,3.6585,4.4795,0.0155,0.1598,19.80,3.0753,24.00,194,4.9
5110,train,3.4927,4.3361,0.1031,0.3660,22.79,3.1878,5.00,194,4.1
5111,train,3.9546,4.0562,0.0361,0.1598,10.80,3.6133,12.00,194,2.8
5112,train,3.9943,4.3731,0.0825,0.2990,9.33,3.6391,4.00,194,1.8
5113,train,5.6887,3.9284,0.0000,0.0622,11.47,4.3325,6.71,193,2.0
5114,train,nan,0.2700,nan,nan,nan,0.0000,nan,0,2.7
5115,train,3.8576,3.8437,0.0052,0.0206,32.03,3.9262,40.31,194,1.8
5116,train,3.8038,4.7227,0.0363,0.2021,13.19,4.2144,20.00,193,2.8
5117,train,4.0478,4.1025,0.0000,0.0052,58.37,3.4698,35.36,194,3.4
5118,train,4.1857,4.1322,0.0000,0.0515,23.32,4.1761,24.33,194,3.6
5119,train,4.2006,2.9959,0.0674,0.1917,14.43,4.7144,22.36,193,1.5
5120,train,4.9892,4.3246,0.0000,0.0000,37.12,4.4524,36.25,194,2.4
5121,train,4.6358,3.9909,0.0206,0.0722,12.35,2.9474,0.00,194,2.2
5122,train,3.6043,2.9448,0.0722,0.2835,16.98,3.2069,12.00,194,5.4
5123,train,3.8475,3.7504,0.0103,0.1237,18.43,3.2296,35.36,194,3.0
5124,train,3.2989,2.5823,0.0725,0.3109,17.60,3.1582,13.42,193,6.0
5125,train,4.5972,4.1107,0.0103,0.0876,11.11,3.5778,3.00,194,1.2
5126,train,3.7014,3.1228,0.0567,0.1959,16.41,3.7176,18.97,194,3.4
5127,train,4.1259,4.2394,0.0052,0.0825,12.39,3.5095,9.00,194,1.3
5128,train,4.8340,3.4888,0.0104,0.0521,11.46,2.5635,0.00,192,2.0
5129,train,3.1981,3.9619,0.0979,0.5412,13.63,2.9742,0.00,194,6.7
5130,train,3.7545,4.1167,0.0258,0.1186,19.05,3.0915,6.00,194,5.5
5131,train,3.6892,3.5688,0.0670,0.3351,9.69,3.7063,8.94,194,2.3
5132,train,3.4123,2.5787,0.1134,0.4072,16.32,3.1535,8.49,194,5.5
5133,train,nan,0.5991,nan,nan,nan,0.0000,nan,0,5.5
5134,train,5.0353,4.0980,0.0207,0.1036,10.96,5.1006,10.82,193,1.7
5135,train,5.0352,4.0187,0.0206,0.0361,21.36,4.0660,6.71,194,1.3
5136,train,4.5140,4.3233,0.0309,0.1082,20.43,4.9444,20.62,194,3.0
5137,train,3.6530,3.4999,0.0567,0.1753,14.51,2.6636,0.00,194,4.9
5138,train,4.0145,4.0766,0.0363,0.1658,14.16,4.3382,11.18,193,2.4
5139,train,4.6203,3.7010,0.0000,0.0052,17.38,4.1005,21.21,194,1.9
5140,train,5.2532,3.7286,0.0000,0.0000,46.89,4.8832,50.91,194,2.5
5141,train,4.3839,4.4524,0.0104,0.0207,41.39,5.1323,26.93,193,2.6
5142,train,nan,0.3048,nan,nan,nan,0.0000,nan,0,2.8
5143,train,3.8690,3.4721,0.0260,0.1042,17.74,3.5375,20.40,192,1.8
5144,train,nan,0.1684,nan,nan,nan,0.0000,nan,0,6.0
5145,train,3.6040,3.9939,0.0670,0.2474,10.31,3.9475,8.94,194,2.2
5146,train,nan,0.3886,nan,nan,nan,0.0000,nan,0,3.5
5147,train,5.0474,3.8586,0.0052,0.0207,16.03,4.8080,20.12,193,2.4
5148,train,4.4508,3.6678,0.0309,0.0773,8.63,3.7967,12.37,194,1.5
5149,train,3.9594,3.0120,0.0773,0.2113,13.18,3.8495,29.12,194,3.6
5150,train,4.3290,3.3812,0.0208,0.1302,17.02,3.6645,13.42,192,5.0
5151,train,3.8990,3.3505,0.0155,0.1237,16.48,3.3755,11.18,194,2.7
5152,train,3.5714,3.0615,0.0674,0.3057,11.70,3.7573,8.00,193,3.6
5153,train,3.7605,3.3468,0.0361,0.1907,10.82,4.0987,5.66,194,2.2
5154,train,nan,0.2043,nan,nan,nan,0.0000,nan,0,2.8
5155,train,3.4815,2.8443,0.0412,0.2835,15.00,3.1435,0.00,194,2.8
5156,train,4.2447,3.1062,0.0000,0.0052,38.19,3.9603,36.22,192,2.2
5157,train,nan,0.3908,nan,nan,nan,0.0000,nan,0,6.5
5158,train,4.8459,3.9869,0.0000,0.0000,31.82,4.3599,39.46,194,2.4
5159,train,nan,0.2745,nan,nan,nan,0.0000,nan,0,2.1
5160,train,4.1708,3.1206,0.0309,0.1031,18.20,4.1406,20.40,194,2.2
5161,train,4.0845,3.4458,0.0155,0.0412,24.35,2.9691,6.00,194,5.3
5162,train,5.0429,3.5356,0.0000,0.0155,18.34,3.8831,18.25,194,1.8
5163,train,nan,0.6404,nan,nan,nan,0.0000,nan,0,1.7
5164,train,5.2889,4.2891,0.0000,0.0000,39.51,5.3807,43.27,194,2.2
5165,train,3.8301,2.7737,0.0309,0.1959,12.24,3.2303,0.00,194,2.2
5166,train,6.8099,3.3247,0.0000,0.0000,25.32,7.2378,25.50,193,1.5
5167,train,3.5183,3.5128,0.0622,0.2953,10.97,3.7567,12.65,193,2.7
5168,train,3.4680,3.3134,0.0361,0.1701,17.81,3.1885,24.00,194,3.6
5169,train,4.3525,3.1353,0.0103,0.0670,18.42,3.5544,20.40,194,2.2
5170,train,4.1149,2.7208,0.0155,0.0825,18.39,3.9026,11.18,194,2.8
5171,train,3.5751,2.8913,0.0052,0.0876,26.37,3.4241,15.81,194,3.5
5172,train,4.8235,3.5348,0.0207,0.0829,26.51,4.5745,18.97,193,6.6
5173,train,4.1400,3.0495,0.0155,0.0773,14.86,3.3641,3.00,194,1.3
5174,train,4.3570,3.4888,0.0412,0.1443,16.81,4.8709,13.42,194,3.8
5175,train,4.2929,3.4483,0.0000,0.0000,34.40,4.4968,36.00,194,3.1
5176,train,4.0821,3.0083,0.0207,0.1554,9.60,3.6575,4.24,193,1.7
5177,train,3.6854,2.6273,0.0419,0.1937,19.89,2.9857,12.00,191,4.5
5178,train,4.0878,3.3111,0.0361,0.1186,26.91,3.6975,12.00,194,5.1
5179,train,3.8799,3.1979,0.0104,0.1451,15.85,2.9847,6.00,193,5.6
5180,train,4.1390,3.8386,0.0258,0.1546,13.81,3.7837,6.71,194,2.9
5181,train,5.1138,3.4364,0.0156,0.0573,23.23,5.6551,21.84,192,2.0
5182,train,nan,0.2812,nan,nan,nan,0.0000,nan,0,5.0
5183,train,4.5002,3.2188,0.0104,0.0518,15.87,3.9821,18.25,193,1.7
5184,train,3.4774,2.9930,0.0518,0.3057,12.10,2.6364,0.00,193,3.5
5185,train,4.5477,3.6490,0.0309,0.1082,14.62,3.6510,3.00,194,1.8
5186,train,4.2881,3.1660,0.0000,0.0259,23.40,3.6361,42.43,193,6.1
5187,train,4.0658,3.1919,0.0155,0.1340,17.41,3.8274,15.81,194,2.8
5188,train,3.5322,3.6557,0.0979,0.3866,11.44,3.4213,8.00,194,3.2
5189,train,4.9048,3.4370,0.0052,0.0206,12.96,5.8145,9.00,194,1.3
5190,train,4.5659,3.0640,0.0103,0.0825,21.76,4.4000,21.63,194,6.0
5191,train,3.8049,3.2210,0.0625,0.2448,18.76,2.8256,12.00,192,4.6
5192,train,4.1725,3.9161,0.0670,0.1804,33.55,2.9191,0.00,194,6.5
5193,train,4.5550,2.9031,0.0000,0.0053,28.71,4.8092,24.33,190,2.6
5194,train,4.3424,3.2608,0.0206,0.0928,14.94,3.9185,28.30,194,2.0
5195,train,3.8479,3.3702,0.0725,0.2953,12.11,3.7631,4.00,193,3.2
5196,train,3.9339,3.4321,0.0155,0.1186,28.62,3.1446,15.00,194,3.4
5197,train,3.7715,3.4546,0.0412,0.1546,14.59,3.1146,3.00,194,2.8
5198,train,3.7225,3.0530,0.0361,0.1856,13.05,3.5528,16.00,194,1.6
5199,train,4.4073,2.8714,0.0000,0.0000,41.36,4.0025,24.00,194,5.2
5200,train,4.1447,2.7976,0.0052,0.0103,36.47,3.8180,42.43,194,6.1
5200,val,4.1779,,0.0295,0.1413,17.36,4.1089,16.57,6820,69.5
5201,train,3.6813,3.8978,0.0258,0.0979,20.52,3.3153,16.00,194,2.4
5202,train,3.8433,3.0944,0.0206,0.1237,23.31,3.8467,30.41,194,1.9
5203,train,3.4751,3.1085,0.0725,0.3161,22.37,3.2444,5.00,193,2.0
5204,train,3.3790,3.5752,0.0567,0.3402,15.12,3.8754,18.97,194,4.2
5205,train,4.5885,3.4006,0.0052,0.0361,13.04,2.8371,3.00,194,1.2
5206,train,4.1556,4.3301,0.0309,0.2010,12.11,3.4524,5.66,194,1.9
5207,train,3.3817,3.4220,0.0619,0.2990,17.39,2.8675,5.00,194,2.8
5208,train,3.5982,3.2956,0.0103,0.1959,21.71,3.6633,20.62,194,2.9
5209,train,nan,0.2489,nan,nan,nan,0.0000,nan,0,6.0
5210,train,4.4095,4.3939,0.0155,0.0674,16.48,4.9823,16.16,193,1.8
5211,train,4.5729,3.6086,0.0000,0.0576,18.16,5.3780,6.00,191,4.7
5212,train,3.9437,3.8212,0.0000,0.0103,37.85,4.7105,24.74,194,5.8
5213,train,nan,0.2235,nan,nan,nan,0.0000,nan,0,2.8
5214,train,4.0530,4.2190,0.0206,0.0722,11.54,3.8393,12.00,194,1.9
5215,train,3.7813,4.6979,0.0155,0.2165,14.15,3.0900,11.18,194,1.9
5216,train,nan,0.1730,nan,nan,nan,0.0000,nan,0,3.1
5217,train,3.5436,4.5239,0.0412,0.3660,9.21,3.0780,8.00,194,2.9
5218,train,3.3761,4.6412,0.0773,0.3918,10.83,2.3253,0.00,194,2.9
5219,train,4.0843,4.4714,0.0259,0.1036,16.82,3.2613,18.00,193,4.0
5220,train,4.3729,4.3412,0.0052,0.0309,27.45,3.7439,35.36,194,2.5
5221,train,4.5718,4.0893,0.0207,0.1244,11.33,4.1522,16.49,193,2.8
5222,train,4.3776,3.5566,0.0000,0.0000,47.63,4.0343,50.25,194,4.9
5223,train,3.6888,5.0912,0.0464,0.2423,12.00,2.4417,0.00,194,3.3
5224,train,nan,0.1966,nan,nan,nan,0.0000,nan,0,2.0
5225,train,3.3182,4.3364,0.1340,0.5206,8.48,3.1868,5.66,194,3.2
5226,train,nan,0.1759,nan,nan,nan,0.0000,nan,0,2.7
5227,train,4.8798,4.4511,0.0000,0.0000,47.30,5.5361,60.30,193,2.5
5228,train,3.4397,4.0000,0.1443,0.4381,11.64,3.8419,24.74,194,6.1
5229,train,nan,0.1648,nan,nan,nan,0.0000,nan,0,1.4
5230,train,3.2478,4.1559,0.1701,0.5361,9.98,2.9169,6.00,194,4.5
5231,train,4.4500,4.8517,0.0000,0.0670,12.55,3.6167,3.00,194,2.6
5232,train,3.5796,4.0972,0.0361,0.3041,13.00,3.2354,7.07,194,3.4
5233,train,4.2418,3.7341,0.0052,0.0312,28.30,3.1429,24.00,192,2.3
5234,train,4.3433,4.0819,0.0155,0.1503,10.21,3.4549,4.24,193,1.9
5235,train,5.2622,4.5959,0.0000,0.0000,38.82,5.4488,42.11,193,2.2
5236,train,4.1671,4.5728,0.0052,0.0670,15.38,4.0940,12.65,194,2.7
5237,train,3.4521,3.6260,0.0622,0.2228,16.36,3.1215,12.65,193,1.5
5238,train,3.2154,3.7643,0.1186,0.3814,12.36,2.9577,10.00,194,4.4
5239,train,3.1171,3.7591,0.1237,0.5258,14.45,2.9123,11.18,194,4.1
5240,train,nan,0.1232,nan,nan,nan,0.0000,nan,0,5.9
5241,train,3.6482,3.5647,0.0260,0.1458,22.86,3.7423,20.62,192,4.4
5242,train,3.6184,4.3369,0.0311,0.0933,38.40,3.2280,56.57,193,2.9
5243,train,5.4232,5.1312,0.0000,0.0000,25.64,5.6297,33.54,192,1.7
