step,split,ce,cert,top1,top5,cell_err_m,n,sec
4493,train,4.6163,0.2226,0.0000,0.0186,24.37,161,0.5
4494,train,5.2812,0.1978,0.0312,0.0875,13.49,160,0.5
4495,train,nan,1.4952,nan,nan,nan,0,2.5
4496,train,5.5290,0.2885,0.0063,0.0750,20.06,160,0.6
4497,train,3.5974,0.2361,0.0000,0.0000,25.73,158,1.2
4498,train,5.8265,0.3377,0.0000,0.0000,21.79,138,1.2
4499,train,4.0056,0.2754,0.0000,0.0131,15.69,153,2.5
4500,train,nan,2.1496,nan,nan,nan,0,4.3
4501,train,6.8572,0.2691,0.0000,0.0000,33.61,160,1.1
4502,train,5.4488,0.2739,0.0000,0.0067,29.88,150,0.6
4503,train,4.0794,0.2542,0.0250,0.1750,9.54,160,1.2
4504,train,4.2347,0.2534,0.0197,0.0658,19.91,152,0.6
4505,train,4.6720,0.3694,0.0000,0.0000,12.23,161,1.1
4506,train,nan,2.0198,nan,nan,nan,0,1.7
4507,train,7.2479,0.3134,0.0000,0.0000,29.61,163,2.0
4508,train,4.1487,0.3445,0.0135,0.0676,23.98,148,1.1
4509,train,3.8420,0.2238,0.0248,0.2112,15.27,161,1.1
4510,train,nan,1.7763,nan,nan,nan,0,0.8
4511,train,4.7762,0.3663,0.0073,0.0511,25.13,137,0.9
4512,train,nan,1.6454,nan,nan,nan,0,0.8
4513,train,5.2494,0.4617,0.0000,0.0000,34.36,153,3.2
4514,train,4.1157,0.3128,0.0063,0.0633,19.38,158,2.6
4515,train,4.2149,0.5201,0.0063,0.0190,12.31,158,1.8
4516,train,4.0194,0.2692,0.0437,0.1938,14.65,160,0.6
4517,train,5.1959,0.3350,0.0000,0.0000,30.90,161,3.6
4518,train,3.9645,0.3219,0.0250,0.1813,11.30,160,4.9
4519,train,nan,1.8796,nan,nan,nan,0,3.4
4520,train,4.4871,0.6474,0.0323,0.1226,21.14,155,1.0
4521,train,4.3214,0.3257,0.0195,0.1169,19.10,154,0.5
4522,train,3.9455,0.4141,0.0323,0.1548,12.34,155,0.9
4523,train,4.9113,0.3921,0.0000,0.0189,23.24,159,1.1
4524,train,4.0460,0.4532,0.0375,0.1125,12.58,160,0.7
4525,train,4.0932,0.3084,0.0125,0.1313,12.39,160,1.7
4526,train,4.8064,0.2879,0.0000,0.0000,30.19,157,1.7
4527,train,3.6759,0.3363,0.0798,0.3190,11.28,163,1.5
4528,train,6.4728,0.3508,0.0000,0.0000,43.13,159,1.4
4529,train,4.2080,0.2315,0.0248,0.0807,14.08,161,0.6
4530,train,4.3186,0.3533,0.0066,0.0658,17.90,152,1.2
4531,train,nan,1.5546,nan,nan,nan,0,3.9
4532,train,4.3780,0.3027,0.0066,0.0927,17.24,151,1.8
4533,train,3.8948,0.2841,0.0199,0.1258,13.15,151,1.2
4534,train,4.7950,0.3344,0.0000,0.0000,30.00,163,0.6
4535,train,4.1575,0.3201,0.0184,0.0859,22.34,163,5.0
4536,train,5.3070,0.3700,0.0000,0.0000,47.83,152,4.6
4537,train,3.7934,0.2405,0.0000,0.0186,18.29,161,0.9
4538,train,4.0520,0.4802,0.0189,0.1321,15.04,159,1.0
4539,train,4.5390,0.2768,0.0000,0.0701,18.79,157,1.2
4540,train,3.6528,0.2610,0.1296,0.4074,9.57,162,2.9
4541,train,3.9147,0.2871,0.0750,0.2688,9.64,160,0.6
4542,train,3.7335,0.2742,0.0185,0.1728,13.21,162,3.5
4543,train,4.2723,0.3003,0.0955,0.2994,9.10,157,4.4
4544,train,4.8373,0.4037,0.0000,0.0137,29.85,146,0.6
4545,train,4.7133,0.3324,0.0000,0.0000,38.49,150,4.3
4546,train,6.0628,0.3349,0.0000,0.0000,33.67,162,3.2
4547,train,4.0405,0.2532,0.0132,0.1788,12.59,151,0.6
4548,train,3.7173,0.3309,0.0805,0.3289,7.96,149,1.2
4549,train,3.5280,0.2951,0.0134,0.1879,9.15,149,0.8
4550,train,4.0397,0.3110,0.0128,0.0833,21.55,156,2.2
4551,train,3.9772,0.2384,0.0186,0.1304,13.16,161,3.4
4552,train,3.7758,0.2241,0.0566,0.1824,15.44,159,3.3
4553,train,3.9707,0.2072,0.0185,0.0432,27.28,162,0.9
4554,train,3.5772,0.2809,0.0390,0.1558,16.10,154,1.7
4555,train,5.0151,0.3206,0.0065,0.0323,17.01,155,3.8
4556,train,4.2066,0.2503,0.0061,0.0427,16.76,164,0.7
4557,train,4.1745,0.2489,0.0000,0.0380,20.35,158,4.5
4558,train,nan,2.2341,nan,nan,nan,0,1.8
4559,train,3.4926,0.3179,0.0886,0.4304,6.94,158,3.8
4560,train,4.6948,0.2788,0.0250,0.0875,19.91,160,1.3
4561,train,nan,2.0343,nan,nan,nan,0,2.1
4562,train,3.7447,0.2501,0.0189,0.1635,14.57,159,2.0
4563,train,4.3440,0.2554,0.0000,0.0127,26.42,157,2.0
4564,train,3.8331,0.2760,0.0000,0.0063,18.73,160,2.0
4565,train,4.3393,0.2313,0.0373,0.1118,14.12,161,1.4
4566,train,4.4409,0.2975,0.0556,0.2160,14.38,162,1.0
4567,train,4.8790,0.2650,0.0064,0.0318,22.97,157,1.0
4568,train,4.0946,0.2536,0.0307,0.1350,16.26,163,0.9
4569,train,4.3110,0.2592,0.0132,0.0993,19.49,151,1.1
4570,train,4.2775,0.3311,0.0000,0.0417,15.04,144,1.5
4571,train,4.1177,0.3038,0.0000,0.0189,20.62,159,1.7
4572,train,4.7249,0.4661,0.0125,0.0750,16.95,160,1.3
4573,train,3.5401,0.2713,0.0974,0.3117,8.63,154,3.6
4574,train,4.1435,0.2695,0.0250,0.2938,18.01,160,1.9
4575,train,4.2898,0.3320,0.0200,0.0933,17.57,150,1.2
4576,train,3.3552,0.2826,0.0194,0.1419,22.22,155,0.8
4577,train,5.9171,0.3630,0.0000,0.0000,43.56,142,0.6
4578,train,nan,1.9354,nan,nan,nan,0,3.5
4579,train,3.8491,0.2869,0.0000,0.0128,16.24,156,3.1
4580,train,3.7876,0.3432,0.1045,0.3731,12.70,134,2.3
4581,train,nan,2.4957,nan,nan,nan,0,1.8
4582,train,4.2856,0.3166,0.0467,0.1533,12.92,150,0.6
4583,train,nan,2.2655,nan,nan,nan,0,0.9
4584,train,3.4033,0.2609,0.0318,0.0892,24.91,157,0.8
4585,train,nan,3.0213,nan,nan,nan,0,1.8
4586,train,nan,2.7856,nan,nan,nan,0,1.3
4587,train,3.8943,0.2620,0.0184,0.0982,12.87,163,1.2
4588,train,3.5274,0.2555,0.0559,0.1739,18.16,161,2.2
4589,train,4.6816,0.2858,0.0061,0.0736,12.09,163,4.0
4590,train,6.7799,0.3372,0.0000,0.0000,49.20,159,1.2
4591,train,3.7621,0.3041,0.0133,0.1400,20.16,150,3.7
4592,train,5.0381,0.3511,0.0000,0.0458,28.47,153,1.2
4593,train,3.9477,0.4067,0.0214,0.1143,10.87,140,3.6
4594,train,3.5370,0.2668,0.0741,0.3148,14.06,162,0.7
4595,train,5.2287,0.2146,0.0244,0.0549,19.29,164,1.4
4596,train,3.5595,0.2594,0.1235,0.3272,13.89,162,1.7
4597,train,3.5940,0.2969,0.1274,0.4268,7.48,157,3.0
4598,train,4.1312,0.2442,0.0000,0.0125,22.94,160,1.8
4599,train,4.0990,0.2421,0.0497,0.0807,17.20,161,1.8
4600,train,4.4308,0.2565,0.0000,0.0000,15.55,161,2.0
4600,val,4.0400,,0.0367,0.1562,15.70,6978,37.3
4601,train,4.3142,0.4112,0.0000,0.0000,29.38,159,3.8
4602,train,5.0269,0.3133,0.0000,0.0062,36.02,161,0.7
4603,train,4.1063,0.2970,0.0253,0.0823,16.83,158,3.1
4604,train,nan,2.5857,nan,nan,nan,0,1.8
4605,train,4.6368,0.2556,0.0000,0.0061,20.81,163,1.2
4606,train,3.1271,0.2923,0.1325,0.6358,7.61,151,0.8
4607,train,3.9921,0.2863,0.0000,0.0132,19.28,152,1.1
4608,train,3.5103,0.3208,0.0000,0.0414,21.01,145,0.8
4609,train,nan,1.6568,nan,nan,nan,0,1.1
4610,train,nan,2.0955,nan,nan,nan,0,1.4
4611,train,5.4104,0.2985,0.0062,0.0373,24.30,161,0.6
4612,train,4.3803,0.3382,0.0000,0.0000,31.60,135,2.2
4613,train,4.4110,0.2625,0.0244,0.1159,13.52,164,1.2
4614,train,5.2798,0.2732,0.0000,0.0064,29.17,156,2.8
4615,train,4.4885,0.2493,0.0063,0.0692,16.02,159,0.9
4616,train,4.5040,0.2626,0.0123,0.0307,25.65,163,0.6
4617,train,3.7772,0.2493,0.0000,0.0000,60.41,161,2.2
4618,train,nan,1.8277,nan,nan,nan,0,0.6
4619,train,4.2536,0.2929,0.0000,0.0194,20.68,155,1.8
4620,train,3.5673,0.2576,0.0061,0.0736,22.66,163,1.5
4621,train,3.9816,0.3577,0.0000,0.0592,13.02,152,4.5
4622,train,3.5632,0.2851,0.1076,0.4494,5.55,158,1.7
4623,train,4.7288,0.3131,0.0123,0.0429,20.24,163,1.1
4624,train,4.3296,0.2413,0.0063,0.0629,17.69,159,0.5
4625,train,4.5947,0.3846,0.0000,0.0000,18.62,160,2.5
4626,train,3.8771,0.2837,0.0500,0.2429,17.08,140,0.6
4627,train,4.9079,0.3466,0.0067,0.0133,17.70,150,1.0
4628,train,3.2365,0.2331,0.0125,0.1875,19.59,160,3.0
4629,train,4.5847,0.3055,0.0000,0.0197,13.70,152,3.6
4630,train,4.5530,0.3307,0.0000,0.0000,38.29,141,2.6
4631,train,3.9212,0.2551,0.0429,0.1288,14.03,163,4.0
4632,train,4.7753,0.2880,0.0000,0.0000,21.96,159,3.5
4633,train,4.2404,0.2597,0.0123,0.1043,12.55,163,0.6
4634,train,4.2858,0.3620,0.0000,0.0000,49.34,160,4.6
4635,train,3.8993,0.2958,0.0000,0.0067,25.72,149,1.1
4636,train,4.8827,0.2813,0.0000,0.0065,32.02,154,0.6
4637,train,nan,1.6341,nan,nan,nan,0,0.8
4638,train,nan,2.6934,nan,nan,nan,0,1.2
4639,train,4.2667,0.2381,0.0183,0.0732,22.20,164,0.6
4640,train,5.1481,0.2615,0.0000,0.0000,23.51,162,0.9
4641,train,4.0031,0.3119,0.0312,0.1938,14.64,160,4.2
4642,train,5.8095,0.2652,0.0000,0.0000,18.24,156,2.2
4643,train,4.0970,0.3306,0.0000,0.0126,19.42,159,0.8
4644,train,4.1424,0.3450,0.0675,0.2147,8.03,163,4.6
4645,train,4.3108,0.3629,0.0127,0.0316,23.12,158,1.2
4646,train,nan,1.5191,nan,nan,nan,0,0.8
4647,train,3.4344,0.2238,0.1411,0.4663,5.88,163,1.9
4648,train,3.9770,0.2795,0.0063,0.0314,19.07,159,3.2
4649,train,6.0938,0.3129,0.0000,0.0000,55.06,154,1.2
4650,train,3.7840,0.2846,0.0124,0.1118,13.30,161,0.8
4651,train,3.6506,0.3177,0.0813,0.4000,13.02,160,1.7
4652,train,nan,1.4004,nan,nan,nan,0,3.9
4653,train,4.0297,0.3764,0.0063,0.0500,22.49,160,0.8
4654,train,4.6024,0.2853,0.0000,0.0192,28.43,156,0.6
4655,train,nan,2.8255,nan,nan,nan,0,1.1
4656,train,3.8083,0.2964,0.0000,0.0789,13.68,152,1.8
4657,train,4.1159,0.2890,0.0000,0.0000,29.31,159,4.7
4658,train,3.7970,0.3479,0.0340,0.2857,11.68,147,3.1
4659,train,4.3504,0.3142,0.0000,0.0658,14.12,152,1.1
4660,train,4.3541,0.2560,0.0000,0.0000,24.39,163,4.8
4661,train,3.7025,0.2302,0.0063,0.0938,11.40,160,2.0
4662,train,nan,1.5359,nan,nan,nan,0,3.2
4663,train,3.5330,0.2538,0.0683,0.2547,13.72,161,1.8
4664,train,3.6060,0.2420,0.0063,0.1688,11.26,160,3.0
4665,train,3.4905,0.2746,0.0446,0.2357,11.38,157,1.2
4666,train,3.7394,0.4025,0.0705,0.2628,14.25,156,3.7
4667,train,3.3149,0.2464,0.0915,0.4695,8.93,164,1.8
4668,train,4.5344,0.2752,0.0000,0.0370,17.37,162,0.9
4669,train,nan,1.3755,nan,nan,nan,0,0.9
