step,split,loss,acc,cell_err,sec_per_step,gpu_gb
25,train,8.777910594940186,0.0004938271641731262,19.256879615783692,0.961332597732544,4.574709415435791
50,train,7.352001972198487,0.0013888084329664707,13.039114952087402,0.9432032108306885,4.574709415435791
75,train,7.347922840118408,0.001718430295586586,12.075034313201904,0.941854658126831,4.604881286621094
100,train,7.027585334777832,0.003506528493016958,11.365458049774169,0.9400322484970093,4.604881286621094
125,train,7.21270263671875,0.002754972353577614,12.743028182983398,0.9373323078155518,4.610636234283447
150,train,6.865072727203369,0.004093380533158779,10.307561359405518,0.9351596832275391,4.610636234283447
175,train,7.250031299591065,0.00298685722053051,12.984370880126953,0.9341523701804025,4.610636234283447
200,train,7.298819751739502,0.0014949489943683148,14.816728591918945,0.9336498880386352,4.610636234283447
225,train,7.059577503204346,0.0032144540920853613,12.555093688964844,0.9332360574934218,4.610636234283447
250,train,6.983846111297607,0.003056695982813835,11.628773708343505,0.932988974571228,4.610636234283447
250,val,6.999866325305058,0.0038461536849634004,9.797205055676974,,
275,train,7.094853820800782,0.001214611902832985,12.49212474822998,0.983714301369407,4.610636234283447
300,train,7.186359386444092,0.0011091954074800014,12.8368745803833,0.9788556424776713,4.610636234283447
325,train,6.846077365875244,0.004122946336865425,10.166346607208252,0.9750012918619009,4.610636234283447
350,train,7.01797887802124,0.00046511627733707427,12.35732427597046,0.9718436486380441,4.610636234283447
375,train,7.084232921600342,0.0029437512159347532,11.280517406463623,0.9688551095326742,4.610636234283447
400,train,7.074611511230469,0.0009674325585365296,13.144217987060546,0.9664866185188293,4.610636234283447
400,val,6.919842139757597,0.00153846148114938,10.397641847317036,,
