step,ce,cert,top1,top5,cell_err_m,n,sec
100,4.8664,0.5868,0.0130,0.0390,24.77,154,0.6
101,4.9760,0.5399,0.0063,0.0253,28.96,158,0.6
102,4.8463,0.5328,0.0127,0.0764,21.33,157,0.7
103,5.0228,0.5701,0.0065,0.0195,27.85,154,0.6
104,5.0209,0.4912,0.0000,0.0247,31.31,162,0.7
105,4.9051,0.6216,0.0127,0.0696,20.38,158,0.6
106,4.9857,0.5133,0.0000,0.0000,38.16,162,0.7
107,4.9900,0.5564,0.0064,0.0255,22.12,157,0.6
108,4.9942,0.5985,0.0130,0.0195,30.91,154,0.6
109,4.9671,0.5233,0.0000,0.0062,30.68,162,0.6
110,4.8957,0.5661,0.0191,0.0701,24.17,157,0.6
111,4.9534,0.5530,0.0063,0.0190,20.74,158,0.6
112,4.9677,0.6343,0.0000,0.0000,32.82,154,0.7
113,4.8463,0.5768,0.0065,0.0844,20.47,154,0.6
114,5.0470,0.5209,0.0000,0.0123,34.65,162,0.7
115,4.9120,0.5520,0.0127,0.0510,19.23,157,0.6
116,4.9309,0.5248,0.0127,0.0380,21.14,158,0.6
117,5.1269,0.4914,0.0000,0.0123,34.41,162,0.7
118,4.8751,0.5976,0.0000,0.0260,19.36,154,0.6
119,4.8585,0.5301,0.0063,0.0506,20.50,158,0.6
120,4.8084,0.6029,0.0191,0.1146,18.32,157,0.6
121,4.8659,0.5879,0.0065,0.0584,18.71,154,0.6
122,5.2309,0.5498,0.0000,0.0000,33.48,157,0.6
123,4.9235,0.4936,0.0000,0.0247,23.75,162,0.7
124,4.8372,0.5826,0.0127,0.0633,24.63,158,0.6
125,4.9428,0.5090,0.0062,0.0185,28.03,162,0.6
126,4.9476,0.5213,0.0063,0.0253,22.05,158,0.6
127,4.8840,0.5471,0.0130,0.0649,20.87,154,0.6
128,5.0420,0.5158,0.0064,0.0127,25.35,157,0.6
129,4.9071,0.5244,0.0065,0.0325,19.22,154,0.6
130,4.9660,0.5243,0.0064,0.0255,26.42,157,0.6
131,4.9006,0.4790,0.0062,0.0185,22.61,162,0.7
132,4.8894,0.5282,0.0063,0.0253,19.15,158,0.6
133,4.9123,0.4537,0.0185,0.0802,25.72,162,0.6
134,5.0001,0.4913,0.0064,0.0064,31.35,157,0.6
135,5.0408,0.5379,0.0000,0.0130,23.91,154,0.6
136,4.9662,0.5023,0.0127,0.0253,21.68,158,0.6
137,4.9469,0.5516,0.0000,0.0195,23.83,154,0.6
138,4.8826,0.4785,0.0123,0.0679,23.83,162,0.7
139,4.8737,0.4721,0.0000,0.0443,21.09,158,0.6
140,4.8749,0.5250,0.0191,0.0892,18.07,157,0.6
141,4.8505,0.4842,0.0185,0.0617,22.62,162,0.7
142,4.9214,0.4902,0.0127,0.0637,18.59,157,0.6
143,4.9411,0.5456,0.0000,0.0195,30.00,154,0.6
144,4.8501,0.4877,0.0063,0.0506,16.75,158,0.6
145,4.8403,0.4684,0.0063,0.0127,16.30,158,0.6
146,4.8738,0.4771,0.0127,0.0892,17.82,157,0.6
147,4.7474,0.4367,0.0247,0.0864,15.45,162,0.7
148,4.8395,0.5018,0.0195,0.0584,17.47,154,0.7
149,4.8087,0.4394,0.0000,0.0309,22.86,162,0.7
150,4.9394,0.4933,0.0065,0.0260,23.16,154,0.6
