step,split,loss,acc,cell_err,sec_per_step,gpu_gb
25,train,7.6871609878540035,0.0003738317638635635,16.86894390106201,1.7937634563446045,4.538548469543457
50,train,8.411635990142821,0.0006110918894410134,12.170854187011718,1.5580997943878174,4.538548469543457
75,train,7.288711376190186,0.00240923423320055,13.100368366241455,1.6421938959757487,4.538548469543457
100,train,7.1279387855529786,0.0029339476116001604,11.457321262359619,1.6862968325614929,4.538548469543457
125,train,6.7422655487060545,0.0024316297098994255,9.663520355224609,1.7092584800720214,4.538548469543457
150,train,6.770509204864502,0.003243187703192234,9.907057704925537,1.7251735385258993,4.538548469543457
175,train,6.795940227508545,0.003718001302331686,10.004732284545899,1.7385787827627999,4.55136251449585
200,train,6.722828540802002,0.0016609206423163414,9.595485458374023,1.749100340604782,4.55136251449585
225,train,6.533324527740478,0.003197125568985939,8.773729591369628,1.7549617724948459,4.55136251449585
250,train,6.5745555114746095,0.0011712447181344032,8.608299674987792,1.7582941465377808,4.55136251449585
250,val,7.361552753993443,0.0017142857238650322,12.70560261644636,,
275,train,6.678083591461181,0.00366401344537735,10.267731800079346,1.8577607423608953,4.55136251449585
300,train,6.695854663848877,0.006337301842868328,8.434207973480225,1.8511927930514018,4.55136251449585
300,val,7.359110698427473,0.0017142857238650322,12.872787351335798,,
