step,split,loss,acc,cell_err,sec_per_step,gpu_gb
25,train,8.342785301208496,0.0021320896968245505,14.485337390899659,0.9623280429840088,4.541873931884766
50,train,7.775736579895019,0.0025285039097070693,14.763107852935791,0.9469240808486938,4.555643081665039
75,train,7.446379203796386,0.002558002211153507,13.67531988143921,0.9407600911458334,4.555643081665039
100,train,7.087579364776611,0.0037068702280521394,11.020185871124268,0.9384126496315003,4.555643081665039
125,train,7.021186809539795,0.002080560177564621,11.403572750091552,0.9366736679077149,4.594599723815918
150,train,6.822719421386719,0.0046303275972604755,10.153083057403565,0.9353951676686605,4.594599723815918
175,train,7.029807052612305,0.0036571663431823253,11.733817939758302,0.9345019504002162,4.594599723815918
200,train,6.9628835296630855,0.003470207192003727,9.289804611206055,0.933809541463852,4.594599723815918
225,train,7.070272483825684,0.002217060774564743,10.418149261474609,0.933286001417372,4.594599723815918
250,train,7.209563980102539,0.00217213898897171,11.338719425201417,0.9334567232131958,4.594599723815918
250,val,7.066899653068052,0.0019854401459536513,12.273733210358534,,
275,train,7.086072273254395,0.0024275537207722664,12.424068164825439,0.983149700164795,4.594599723815918
300,train,7.033995552062988,0.002931489646434784,10.355888557434081,0.9787766202290853,4.594599723815918
300,val,7.062604284065595,0.0019854401459536513,12.378007672307982,,
